Name,url,keywords
Meet the Blacks,https://www.imdb.com/title/tt4191580/,"middle class, spoof, family character name in title, parody comedy, home invasion, family in jeopardy, family relationships, beverly hills california, three word title, masked villain, masked murderer, masked intruder, family as protagonists, the purge, killing spree, human hunting a human, mob violence, neighbor neighbor relationship, color in title, president, name in title, mask, lawlessness, purge, masked man, revenge, surname in title, assault, knock at the door, annual event, masked killer, revenge as social custom, murder spree, first part, african american, racism, past catching up, parody, breaking the fourth wall, character name in title"
Home Alone 3,https://www.imdb.com/title/tt0119303/,"chicken pox, home invasion, silicon valley california, silicon valley, hong kong, airport, slapstick comedy, bound and gagged, actor shares first name with character, stakeout, minivan, defense, poster on the wall, cul de sac, computer chip, international criminal, stolen computer chip, winter, snow, snowstorm, clothes on fire, slipping on marbles, breaking and entering, 911 call, hit on the head, mugshot, montage, pet rat, pet parrot, talking parrot, numbered sequel, three word title, directorial debut, fbi federal bureau of investigation, fireworks, arrest, false alarm, dog walking, terrorism, criminal, telephone, telephone call, flowerpot, lawnmower, husband wife relationship, cracker, police captain, 1990s, pet, house"
Aliens vs. Predator: Requiem,https://www.imdb.com/title/tt0758730/,"the predator character, predator, extraterrestrial, weapons fire, alien spacecraft, spacecraft, set up for unmade sequel, horror icon, reference to they live, reference to playstation 2, creature feature, biopunk, swimming pool, rain, weapon, gun, television, binoculars, child in jeopardy, postmodern, male and female protagonists, pregnant woman, woman in labor, husband wife relationship, son sees his father die, daughter sees her father die, killed with acid, head explosion, mother daughter relationship, father daughter relationship, father son relationship, fight, baseball cap, baseball bat, playstation 2, jeep, kiss, bikini, pool, walkie talkie, cap, fire, pizza, year 2004, father killed in front of child, killing, child killed, police officer killed, pregnant woman killed, monster horror"
Alvin and the Chipmunks: The Squeakquel,https://www.imdb.com/title/tt1231580/,"battle of the bands, american football, chipmunk, school, singing animal, animal protagonist, remote control helicopter, headset, reference to digger the gopher, radio, cupboard, california, limousine, bird, live action cgi hybrid, american football ball, american football game, rawlings, toy, football jersey, backpack, honda, car, animal character names as title, alvin and the chipmunks characters, xbox 360 controller, f rated, live action and animation, brushing teeth, american football jersey, directv, college football, jeep, airplane, reference to olivia wilde, cell phone, reference to the philadelphia eagles, bobble head doll, american football player, memory, memory lapse, forgetting a name, forgetting keys, fart, cartoon reality crossover, reference to monopoly the game, football field, american football field, record studio, record label"
Fifty Shades Freed,https://www.imdb.com/title/tt4477536/,"sex scene, wedding ceremony, bondage, car chase, unplanned pregnancy, marry into money, lavish lifestyle, male nudity, man wears a swimsuit, based on novel, female nudity, seattle washington, sadomasochism, husband wife relationship, security guard, positive pregnancy test, sexual submissiveness, malice, sex in a car, honeymoon, bodyguard, revenge, kidnapped sister, ransom, jealousy, pregnancy, pantyhose, black pantyhose, architect, christian grey character, wedding reception, wedding night, marriage ceremony, private jet, wedding vows, religious vows, renewing wedding vows, lavish party, cote d'azur, married life, real estate agent, jet ski, jet set life, high speed chase, hiking, american flag, taking a shower, woman in a shower, product placement, audi"
Death Note,https://www.imdb.com/title/tt0877057/,"battle of wits, anti hero, moral dilemma, arrogance, child prodigy, criminal, apple, playing god, supernatural power, god of death, neo noir, secret identity, villain as protagonist, serial killer, police detective, psychological thriller, magical realism, anime, vigilante, police chief, erased memory, eyes, father son relationship, manipulation, moral ambiguity, perfectionist, hidden identity, justice, psychological manipulation, death in series title, bus, danger, fbi agent, flashback, hit by a car, investigation, memory, potato chip, prison cell, room, student, surveillance, tv news, live tv, deception, fear, kanto region, male protagonist, poetic justice, police investigation"
Little Man,https://www.imdb.com/title/tt0430304/,"diarrhea, dumb police, craps, baseball, football helmet, american football, american football ball, sony, hockey game, bassinet, beer, reference to 50 cent, reference to jennifer lopez, reference to halle berry, audi, audi 4000, bmw, bmw 540i, buick automobile, buick century, chevrolet, chevrolet astro, chrysler fifth avenue, ford motor company, ford crown victoria, jaguar the car, jaguar xj12, jaguar xj8, jeep, jeep cherokee, mazda, mazda mpv, nissan, nissan pathfinder, peterbilt 362, pontiac, pontiac tempest lemans, toyota, toyota corolla, toyota echo, toyota matrix, peterbilt, birthday, birthday cake, birthday balloon, chrysler automobile, ice hockey, ice hockey game, ice hockey player, ice hockey jersey"
Jason X,https://www.imdb.com/title/tt0211443/,"female doctor, autopsy, slasher killer, serial teen murderer, good versus evil, survival horror, psycho killer, supernatural serial killer, masked killer, cryogenics, hockey mask, woman stripped down to panties, cryostasis, body enhancement, shot multiple times, spaceship crash, liquid nitrogen, hologram, tenth part, sleeping bag, male name in title, jason voorhees character, sadistic psychopath, dead body, sadistic murderer, maniac, homicidal maniac, bad guy, slashed to death, body count, mysterious man, mysterious villain, body part, psycho, body parts, psycho thriller, male victim, blood spatter, murder spree, murdered with a knife, insanity, characters murdered one by one, man wears eyeglasses, masked murderer, mysterious murderer, offscreen murder, sadism, serial murder, woman in jeopardy, teacher student sex"
Ouija,https://www.imdb.com/title/tt1204977/,"ouija, ouija board, ghost, sister sister relationship, attic, door opens by itself, overflowing bathtub, spirit, friend, evil spirit, funeral, death of girlfriend, haunted house, basement, high school, board game, death of friend, younger version of character, telephone call, supernatural power, psychotronic film, witchboard, midnight movie, grindhouse film, character repeats someone else's dialogue, characters murdered one by one, woman uses a wheelchair, paranormal phenomenon, occult ritual, tween girl, cleavage, evil sister, girl wears a nightgown, begins with a flashback, teenage girl, home alone, burning things in a fireplace, suicide by hanging, scene before opening credits, high school senior, cell phone video, death of best friend, sisters relationship, father daughter hug, lights go out, gas stove, riding a bicycle, tunnel, restaurant, door slam"
Friday the 13th Part VIII: Jason Takes Manhattan,https://www.imdb.com/title/tt0097388/,"manhattan new york city, boat, hockey mask, anchor, new york city, electrocution, bare chested male, world trade center manhattan new york city, severed head, slasher, supernatural power, violence, blood splatter, jason voorhees character, written by director, borough name in title, sequel, slasher horror, sauna, pet dog, slasher killer, captain, father son relationship, high school graduate, shower, shower room, female in a shower, overboard, rescue from drowning, knocked overboard, woman overboard, boyfriend girlfriend relationship, murder spree, hallucination, blackmail, electric guitar, guitarist, female guitarist, dressing gown, body paint, video camera, videotape, mirror, broken mirror, storm at sea, machete, prank, stabbed in the back, boxer, boxing"
