Name,Similar Movies
Meet the Blacks,"The House Next Door: Meet the Blacks 2, Fifty Shades of Black, Next Day Air, Johnson Family Vacation, Where's the Money, Welcome Home, Roscoe Jenkins, The Trap, Katt Williams: Great America, A Haunted House, The Blackening, What Are the Chances?, School Dance"
Home Alone 3,"Home Alone 2: Lost in New York, Home Alone 4: Taking Back the House, Home Alone, Home Alone: The Holiday Heist, Home Sweet Home Alone, Night at the Museum, Stuart Little, The Karate Kid, Home Alone 9, How the Grinch Stole Christmas, Jumanji, Ice Age"
Fifty Shades Darker,"Fifty Shades Freed, Fifty Shades of Grey, Endings, Beginnings, Fifty Shades of Grey, After, 365 Days, After We Collided, After We Fell, 365 Days: This Day, The Next 365 Days, After Ever Happy, After Everything"
Aliens vs. Predator: Requiem,"Alien vs. Predator, Predators, Predator 2, Alien Resurrection, Alien³, Alien: Covenant, The Predator, Predator, Prometheus, Aliens, Prey, Alien"
Alvin and the Chipmunks: The Squeakquel,"Alvin and the Chipmunks: Chipwrecked, Alvin and the Chipmunks, Alvin and the Chipmunks: The Road Chip, The Smurfs, The Smurfs 2, Garfield: The Movie, Garfield: A Tail of Two Kitties, Alvin & the Chipmunks, G-Force, Smurfs: The Lost Village, Hop, Chicken Little"
God's Not Dead,"God's Not Dead 2, God's Not Dead: A Light in Darkness, God's Not Dead: We the People, War Room, Do You Believe?, God's Not Dead: In God We Trust, Fireproof, Courageous, Facing the Giants, The Case for Christ, God Is Not Dead, The Encounter"
Fifty Shades Freed,"Fifty Shades Darker, Fifty Shades of Grey, Fifty Shades of Grey, After, 365 Days, After We Collided, 365 Days: This Day, The Next 365 Days, After We Fell, After Ever Happy, The Twilight Saga: Breaking Dawn - Part 1, After Everything"
Death Note,"Death Note, Truth or Dare, Death Note, Death Note: The Last Name, The Babysitter: Killer Queen, Death Note: Light Up the New World, The Babysitter, In the Tall Grass, The Silence, The Purge, Death Note, Eli"
Sex and the City 2,"Sex and the City, Sex and the City, And Just Like That..., Sex, Love, Misery: New New York, Sex/Life, Sex and the City, Gossip Girl, Bridget Jones's Baby, Bridget Jones: The Edge of Reason, Girls, Desperate Housewives, Bride Wars"
Little Man,"White Chicks, Don't Be a Menace to South Central While Drinking Your Juice in the Hood, Sextuplets, Norbit, Big Momma's House, Scary Movie 2, Scary Movie, A Haunted House, Naked, Big Momma's House 2, Scary Movie 3, A Haunted House 2"
