Movie,Top Genre,Top Percentage,All Genres
'V for Vendetta' Unmasked,,0.0,
12 Angry Men,Drama,83.9506172839506,"Drama: 83.95%, Crime: 16.05%, Adventure: 16.05%, Thriller: 13.58%, Family: 12.35%, Fantasy: 11.11%, Comedy: 8.64%, Animation: 8.64%, Romance: 4.94%, War: 4.94%, Mystery: 4.94%, Sci-Fi: 3.70%, Action: 3.70%, Biography: 2.47%, Sport: 1.23%, Music: 1.23%, Horror: 1.23%"
12 Years a Slave,Drama,84.0,"Drama: 84.00%, Adventure: 16.00%, Fantasy: 12.00%, Comedy: 10.00%, Thriller: 10.00%, Mystery: 8.00%, Crime: 8.00%, Animation: 6.00%, Family: 6.00%, Biography: 6.00%, History: 6.00%, Action: 4.00%, Romance: 4.00%, War: 2.00%, Western: 2.00%, Music: 2.00%"
12th Fail,Drama,88.23529411764706,"Drama: 88.24%, Thriller: 11.76%, Comedy: 11.76%, Adventure: 11.76%, Fantasy: 11.76%, Animation: 8.82%, Action: 5.88%, Family: 5.88%, Crime: 5.88%, Romance: 5.88%, Sci-Fi: 2.94%, War: 2.94%, Biography: 2.94%, Music: 2.94%, Sport: 2.94%"
1917,Drama,84.61538461538461,"Drama: 84.62%, War: 20.00%, Action: 18.46%, Comedy: 9.23%, Family: 9.23%, Adventure: 9.23%, Mystery: 6.15%, History: 4.62%, Thriller: 4.62%, Fantasy: 4.62%, Sci-Fi: 4.62%, Music: 3.08%, Animation: 3.08%, Biography: 3.08%, Sport: 1.54%, Film-Noir: 1.54%, Romance: 1.54%, Crime: 1.54%"
2001_ A Space Odyssey,Drama,59.72222222222222,"Drama: 59.72%, Adventure: 33.33%, Sci-Fi: 33.33%, Action: 13.89%, Family: 12.50%, Mystery: 11.11%, Thriller: 9.72%, Fantasy: 9.72%, Animation: 8.33%, Crime: 6.94%, Comedy: 5.56%, Biography: 4.17%, Sport: 4.17%, War: 4.17%, Horror: 4.17%, Romance: 2.78%, Music: 1.39%"
2010_ The Year We Make Contact,,0.0,
2036_ Nexus Dawn,,0.0,
21 Grams,Drama,77.35849056603774,"Drama: 77.36%, Adventure: 16.98%, Fantasy: 11.32%, Thriller: 11.32%, Comedy: 9.43%, Action: 9.43%, Animation: 7.55%, Family: 7.55%, Crime: 7.55%, Sci-Fi: 7.55%, Mystery: 5.66%, Horror: 3.77%, Romance: 1.89%, War: 1.89%, Biography: 1.89%, Short: 1.89%, Film-Noir: 1.89%"
3 Idiots,Drama,72.97297297297297,"Drama: 72.97%, Adventure: 25.68%, Comedy: 18.92%, Fantasy: 16.22%, Sci-Fi: 12.16%, Family: 10.81%, Thriller: 9.46%, Animation: 9.46%, Action: 9.46%, Crime: 6.76%, Mystery: 4.05%, Romance: 2.70%, Biography: 2.70%, Sport: 2.70%, Horror: 2.70%, Short: 1.35%"
500 Days of Summer,Drama,82.14285714285714,"Drama: 82.14%, Adventure: 21.43%, Fantasy: 14.29%, Family: 14.29%, Thriller: 12.50%, Animation: 12.50%, Action: 12.50%, Comedy: 8.93%, Mystery: 8.93%, Crime: 5.36%, War: 3.57%, Sci-Fi: 3.57%, Romance: 1.79%, Biography: 1.79%, History: 1.79%"
96,Drama,89.74358974358975,"Drama: 89.74%, Adventure: 12.82%, Action: 12.82%, Thriller: 10.26%, Mystery: 10.26%, Biography: 10.26%, Family: 10.26%, War: 7.69%, Fantasy: 7.69%, Crime: 7.69%, Sci-Fi: 7.69%, Romance: 5.13%, Music: 5.13%, Animation: 5.13%, Comedy: 5.13%, History: 2.56%"
A Beautiful Mind,Drama,76.47058823529412,"Drama: 76.47%, Adventure: 25.49%, Comedy: 23.53%, Fantasy: 17.65%, Family: 15.69%, Action: 15.69%, Biography: 13.73%, Mystery: 13.73%, Thriller: 11.76%, Animation: 11.76%, War: 7.84%, Crime: 7.84%, Romance: 7.84%, Sci-Fi: 5.88%, Sport: 3.92%, Documentary: 1.96%, History: 1.96%, Horror: 1.96%, Music: 1.96%"
A Boy Named Death,,0.0,
A Boy of Flanders,,0.0,
A Clockwork Orange,Drama,85.25641025641025,"Drama: 85.26%, Thriller: 14.74%, Adventure: 14.74%, Fantasy: 13.46%, Comedy: 12.18%, Family: 11.54%, Crime: 10.26%, Animation: 9.62%, Action: 8.97%, Sci-Fi: 8.97%, Mystery: 8.97%, Romance: 5.13%, Biography: 5.13%, War: 3.85%, Horror: 1.92%, History: 1.28%, Sport: 0.64%, Music: 0.64%, Musical: 0.64%"
A Dangerous Man_ Lawrence After Arabia,,0.0,
A Dangerous Son,,0.0,
A Dog's Life,,0.0,
a Film Within History,,0.0,
A Fistful of Dollars,,0.0,
A Good Day to Die Hard,Drama,75.43859649122807,"Drama: 75.44%, Thriller: 21.05%, Comedy: 12.28%, Adventure: 12.28%, Action: 12.28%, Family: 10.53%, Sci-Fi: 10.53%, Fantasy: 8.77%, Crime: 8.77%, Animation: 7.02%, Biography: 7.02%, Mystery: 5.26%, War: 5.26%, History: 5.26%, Romance: 3.51%, Horror: 1.75%"
A Hero,Drama,77.41935483870968,"Drama: 77.42%, Adventure: 16.13%, Mystery: 9.68%, Thriller: 9.68%, Crime: 9.68%, Comedy: 9.68%, Fantasy: 9.68%, Biography: 6.45%, Action: 3.23%, War: 3.23%, Animation: 3.23%, Family: 3.23%, Western: 3.23%"
A Man Escaped,,0.0,
A Message for Peace_ Making 'Hotel Rwanda',,0.0,
A Nightmare on Elm Street,Drama,77.35849056603774,"Drama: 77.36%, Thriller: 21.70%, Adventure: 19.81%, Comedy: 16.04%, Action: 15.09%, Fantasy: 13.21%, Family: 13.21%, Mystery: 11.32%, Animation: 11.32%, Crime: 10.38%, Sci-Fi: 10.38%, War: 4.72%, Romance: 2.83%, Horror: 1.89%, Sport: 0.94%, Biography: 0.94%, History: 0.94%, Western: 0.94%"
A Separation,Drama,84.31372549019608,"Drama: 84.31%, Thriller: 15.69%, Adventure: 15.69%, Family: 13.73%, Mystery: 13.73%, Crime: 11.76%, Action: 11.76%, Animation: 9.80%, Fantasy: 7.84%, Comedy: 7.84%, Romance: 5.88%, Sci-Fi: 5.88%, Sport: 3.92%, War: 3.92%, Horror: 1.96%, Biography: 1.96%"
A Silent Voice_ The Movie,,0.0,
A Streetcar Named Desire,Drama,80.32786885245902,"Drama: 80.33%, Fantasy: 13.11%, Thriller: 11.48%, Adventure: 11.48%, Animation: 11.48%, Mystery: 11.48%, Comedy: 9.84%, Family: 9.84%, Crime: 8.20%, War: 6.56%, Sci-Fi: 6.56%, Action: 6.56%, Romance: 4.92%, Biography: 3.28%, Musical: 1.64%, Short: 1.64%, Music: 1.64%"
Aavesham,Drama,83.87096774193549,"Drama: 83.87%, Adventure: 19.35%, Sci-Fi: 19.35%, Thriller: 16.13%, Comedy: 16.13%, Crime: 12.90%, Fantasy: 9.68%, Mystery: 9.68%, Action: 9.68%, Romance: 9.68%, Family: 6.45%, Animation: 3.23%, War: 3.23%, Sport: 3.23%"
About Elly,Drama,75.0,"Drama: 75.00%, Adventure: 28.57%, Comedy: 25.00%, Family: 21.43%, Crime: 17.86%, Fantasy: 17.86%, Animation: 17.86%, Action: 14.29%, Mystery: 10.71%, Thriller: 7.14%, War: 7.14%, Sci-Fi: 7.14%, Sport: 3.57%"
Akira,Drama,80.0,"Drama: 80.00%, Adventure: 21.38%, Action: 15.86%, Thriller: 12.41%, Fantasy: 11.72%, Sci-Fi: 11.03%, Comedy: 10.34%, Crime: 9.66%, Animation: 9.66%, Family: 9.66%, Mystery: 8.97%, War: 7.59%, Biography: 4.83%, Romance: 2.07%, Horror: 1.38%, History: 1.38%, Film-Noir: 1.38%, Sport: 0.69%, Music: 0.69%"
Alien Resurrection,Drama,56.75675675675676,"Drama: 56.76%, Sci-Fi: 27.03%, Adventure: 21.62%, Animation: 18.92%, Comedy: 18.92%, Fantasy: 16.22%, Family: 16.22%, Thriller: 13.51%, Biography: 8.11%, Crime: 8.11%, War: 8.11%, Action: 8.11%, History: 5.41%, Horror: 5.41%, Mystery: 2.70%, Romance: 2.70%"
Alien vs. Predator,Drama,53.65853658536586,"Drama: 53.66%, Adventure: 31.71%, Action: 24.39%, Sci-Fi: 24.39%, Thriller: 14.63%, Family: 12.20%, Fantasy: 9.76%, Animation: 9.76%, Mystery: 7.32%, Horror: 7.32%, Crime: 4.88%, Short: 2.44%, Biography: 2.44%, War: 2.44%, Comedy: 2.44%"
Alien,Drama,61.038961038961034,"Drama: 61.04%, Sci-Fi: 27.27%, Adventure: 27.27%, Thriller: 12.99%, Action: 12.99%, Comedy: 10.39%, Family: 9.09%, Fantasy: 9.09%, Animation: 9.09%, Romance: 5.19%, War: 5.19%, Horror: 3.90%, Mystery: 3.90%, Sport: 2.60%, Biography: 2.60%, History: 2.60%, Crime: 2.60%, Western: 1.30%"
