Movie,Top Genre,Top Percentage,All Genres
#Realityhigh,,0.0,
10.0 Earthquake,,0.0,
11-11-11,Drama,25.141242937853107,"Drama: 25.14%, Thriller: 11.86%, Sci-Fi: 10.45%, Action: 9.89%, Comedy: 5.93%, Mystery: 5.65%, Crime: 5.08%, Adventure: 4.80%, Horror: 4.80%, Animation: 3.67%, War: 2.82%, Fantasy: 2.82%, Romance: 2.26%, Family: 1.98%, Music: 1.13%, Biography: 0.85%, Sport: 0.28%, History: 0.28%, Film-Noir: 0.28%"
11_11_11,Drama,25.141242937853107,"Drama: 25.14%, Thriller: 11.86%, Sci-Fi: 10.45%, Action: 9.89%, Comedy: 5.93%, Mystery: 5.65%, Crime: 5.08%, Adventure: 4.80%, Horror: 4.80%, Animation: 3.67%, War: 2.82%, Fantasy: 2.82%, Romance: 2.26%, Family: 1.98%, Music: 1.13%, Biography: 0.85%, Sport: 0.28%, History: 0.28%, Film-Noir: 0.28%"
12_12_12,Drama,36.25377643504532,"Drama: 36.25%, Comedy: 7.85%, Crime: 7.55%, Adventure: 7.25%, Thriller: 6.95%, Fantasy: 5.74%, Family: 4.83%, Sci-Fi: 4.53%, Mystery: 4.23%, Action: 3.63%, Animation: 3.63%, Romance: 2.11%, War: 1.51%, Horror: 1.51%, Biography: 1.21%, Sport: 0.91%, Music: 0.30%"
13,,0.0,
13_13_13,Drama,27.160493827160494,"Drama: 27.16%, Comedy: 15.43%, Sci-Fi: 7.41%, Action: 7.41%, Thriller: 6.79%, Fantasy: 6.17%, Adventure: 6.17%, Family: 4.32%, Horror: 3.70%, Animation: 3.70%, Mystery: 3.09%, Crime: 3.09%, Romance: 1.85%, War: 0.62%, Musical: 0.62%, Short: 0.62%, Western: 0.62%, Biography: 0.62%, Music: 0.62%"
2001_ A Space Travesty,,0.0,
2011 ESPY Awards,,0.0,
2012 ESPY Awards,,0.0,
3 Sleeps,,0.0,
321 Action,,0.0,
365 Days,Drama,35.22012578616352,"Drama: 35.22%, Comedy: 11.95%, Adventure: 6.29%, Action: 5.66%, Family: 5.66%, Fantasy: 5.66%, Thriller: 5.66%, Romance: 5.03%, Animation: 4.40%, Mystery: 3.14%, Crime: 3.14%, Sci-Fi: 2.52%, War: 1.26%, Music: 1.26%, Biography: 1.26%, Sport: 1.26%, Horror: 0.63%"
365 Days_ This Day,,0.0,
47 Meters Down,Drama,30.844155844155846,"Drama: 30.84%, Adventure: 14.61%, Sci-Fi: 11.36%, Family: 10.71%, Thriller: 10.39%, Action: 8.77%, Comedy: 3.57%, Animation: 3.25%, Horror: 2.27%, Mystery: 1.62%, Fantasy: 1.30%, Crime: 0.65%, Romance: 0.32%, War: 0.32%"
47 Meters Down_ Uncaged,Drama,31.40495867768595,"Drama: 31.40%, Adventure: 22.31%, Thriller: 8.26%, Mystery: 5.79%, Action: 5.79%, Horror: 4.96%, Family: 4.13%, Animation: 4.13%, Sci-Fi: 4.13%, War: 3.31%, Fantasy: 3.31%, Comedy: 1.65%, Crime: 0.83%"
51,Drama,28.152492668621704,"Drama: 28.15%, Action: 10.85%, Sci-Fi: 10.26%, Thriller: 7.92%, Comedy: 7.92%, Adventure: 7.92%, Crime: 5.57%, Mystery: 4.40%, War: 4.11%, Fantasy: 3.52%, Animation: 3.23%, Family: 2.93%, Horror: 2.35%, Romance: 0.29%, Sport: 0.29%, Biography: 0.29%"
7 Days,Drama,27.27272727272727,"Drama: 27.27%, Adventure: 16.16%, Action: 10.10%, Sci-Fi: 8.08%, Thriller: 6.06%, Mystery: 5.05%, Comedy: 5.05%, Horror: 4.04%, Fantasy: 4.04%, Crime: 4.04%, Animation: 3.03%, Romance: 2.02%, War: 2.02%, Family: 2.02%, Biography: 1.01%"
8 Found Dead,,0.0,
8MM,Drama,29.508196721311474,"Drama: 29.51%, Comedy: 9.29%, Action: 7.10%, Adventure: 7.10%, Thriller: 7.10%, Family: 6.56%, Crime: 5.46%, Animation: 5.46%, Fantasy: 5.46%, Sci-Fi: 4.92%, Mystery: 3.28%, War: 2.19%, Biography: 1.09%, Horror: 1.09%, Musical: 1.09%, Romance: 1.09%, Sport: 1.09%, History: 0.55%, Music: 0.55%"
