Movie,Top Genre,Top Percentage,All Genres
'V for Vendetta' Unmasked,,0.0,
12 Angry Men,Drama,36.25377643504532,"Drama: 36.25%, Comedy: 7.85%, Crime: 7.55%, Adventure: 7.25%, Thriller: 6.95%, Fantasy: 5.74%, Family: 4.83%, Sci-Fi: 4.53%, Mystery: 4.23%, Action: 3.63%, Animation: 3.63%, Romance: 2.11%, War: 1.51%, Horror: 1.51%, Biography: 1.21%, Sport: 0.91%, Music: 0.30%"
12 Years a Slave,Drama,33.33333333333333,"Drama: 33.33%, Comedy: 10.75%, Romance: 8.06%, Thriller: 7.53%, Fantasy: 7.53%, Action: 5.91%, Adventure: 4.84%, Crime: 3.76%, Sci-Fi: 3.76%, Biography: 3.23%, History: 3.23%, Mystery: 2.69%, Animation: 1.61%, Family: 1.61%, Western: 0.54%, Horror: 0.54%, Music: 0.54%, War: 0.54%"
12th Fail,Drama,42.5531914893617,"Drama: 42.55%, Fantasy: 9.57%, Comedy: 7.45%, Action: 7.45%, Thriller: 7.45%, Romance: 5.32%, Adventure: 5.32%, Animation: 4.26%, Family: 3.19%, Horror: 2.13%, Sci-Fi: 2.13%, Sport: 1.06%, War: 1.06%, Crime: 1.06%"
1917,Drama,36.24454148471616,"Drama: 36.24%, Action: 13.97%, War: 11.35%, Adventure: 7.42%, Comedy: 4.37%, Fantasy: 3.93%, Family: 3.49%, Sci-Fi: 3.06%, Thriller: 3.06%, Mystery: 3.06%, Romance: 2.18%, Biography: 1.31%, Animation: 1.31%, Music: 1.31%, History: 1.31%, Horror: 0.87%, Crime: 0.87%, Film-Noir: 0.44%, Sport: 0.44%"
2001_ A Space Odyssey,Drama,22.61904761904762,"Drama: 22.62%, Sci-Fi: 17.46%, Adventure: 16.27%, Action: 10.32%, Family: 4.37%, Thriller: 3.97%, Mystery: 3.97%, Comedy: 3.57%, Animation: 3.17%, Fantasy: 3.17%, Horror: 2.38%, Music: 1.98%, Crime: 1.98%, War: 1.59%, Romance: 1.19%, Biography: 1.19%, Sport: 0.79%"
2010_ The Year We Make Contact,,0.0,
2036_ Nexus Dawn,,0.0,
21 Grams,Drama,33.91812865497076,"Drama: 33.92%, Adventure: 10.53%, Fantasy: 9.94%, Family: 7.60%, Comedy: 7.02%, Thriller: 5.85%, Crime: 4.68%, Animation: 4.09%, Action: 3.51%, Horror: 2.92%, Sci-Fi: 2.92%, Mystery: 2.34%, Romance: 2.34%, War: 0.58%, Biography: 0.58%, Film-Noir: 0.58%, Short: 0.58%"
3 Idiots,Drama,26.82926829268293,"Drama: 26.83%, Adventure: 11.89%, Fantasy: 9.45%, Comedy: 8.84%, Horror: 8.23%, Action: 6.10%, Thriller: 6.10%, Animation: 5.79%, Family: 5.49%, Sci-Fi: 4.27%, Crime: 2.13%, Mystery: 1.52%, Romance: 1.22%, Music: 0.61%, Biography: 0.61%, Sport: 0.61%, Short: 0.30%"
