Movie,Top Genre,Top Percentage,All Genres
#Realityhigh,,0.0,
10.0 Earthquake,,0.0,
11-11-11,Sci-Fi,17.813765182186234,"Sci-Fi: 17.81%, Action: 11.74%, Comedy: 11.34%, Thriller: 11.34%, Horror: 10.12%, Drama: 9.72%, Mystery: 6.48%, Music: 5.67%, Crime: 4.86%, Romance: 3.24%, Fantasy: 2.83%, Animation: 2.02%, Adventure: 1.62%, Musical: 0.81%, Sport: 0.40%"
11_11_11,Sci-Fi,17.813765182186234,"Sci-Fi: 17.81%, Action: 11.74%, Comedy: 11.34%, Thriller: 11.34%, Horror: 10.12%, Drama: 9.72%, Mystery: 6.48%, Music: 5.67%, Crime: 4.86%, Romance: 3.24%, Fantasy: 2.83%, Animation: 2.02%, Adventure: 1.62%, Musical: 0.81%, Sport: 0.40%"
12_12_12,Thriller,19.526627218934912,"Thriller: 19.53%, Horror: 14.20%, Action: 13.61%, Comedy: 11.24%, Sci-Fi: 8.28%, Crime: 8.28%, Mystery: 7.10%, Drama: 4.73%, Romance: 3.55%, Fantasy: 3.55%, Adventure: 2.96%, Music: 1.78%, Animation: 1.18%"
13,,0.0,
13_13_13,Comedy,18.181818181818183,"Comedy: 18.18%, Thriller: 12.50%, Horror: 11.36%, Drama: 7.95%, Mystery: 7.95%, Action: 7.95%, Fantasy: 6.82%, Romance: 6.82%, Sci-Fi: 6.82%, Crime: 3.41%, Music: 3.41%, Animation: 2.27%, Adventure: 2.27%, War: 1.14%, Musical: 1.14%"
2001_ A Space Travesty,,0.0,
2011 ESPY Awards,,0.0,
2012 ESPY Awards,,0.0,
3 Sleeps,,0.0,
321 Action,,0.0,
365 Days,Comedy,20.382165605095544,"Comedy: 20.38%, Romance: 14.01%, Thriller: 10.83%, Action: 8.92%, Drama: 7.64%, Sci-Fi: 7.64%, Horror: 7.01%, Adventure: 6.37%, Mystery: 6.37%, Fantasy: 5.73%, Crime: 3.18%, Music: 1.27%, Musical: 0.64%"
365 Days_ This Day,,0.0,
47 Meters Down,Horror,16.48936170212766,"Horror: 16.49%, Adventure: 15.43%, Thriller: 14.89%, Comedy: 10.11%, Sci-Fi: 9.04%, Action: 9.04%, Crime: 6.91%, Mystery: 5.85%, Drama: 4.79%, Fantasy: 4.26%, Romance: 1.60%, Animation: 1.60%"
47 Meters Down_ Uncaged,Horror,24.719101123595504,"Horror: 24.72%, Thriller: 23.60%, Adventure: 23.60%, Mystery: 7.87%, Comedy: 4.49%, Drama: 4.49%, Crime: 3.37%, Action: 2.25%, Romance: 1.12%, War: 1.12%, Fantasy: 1.12%, Animation: 1.12%, Sci-Fi: 1.12%"
51,Thriller,15.068493150684931,"Thriller: 15.07%, Action: 14.38%, Horror: 13.36%, Comedy: 10.96%, Sci-Fi: 10.62%, Mystery: 8.22%, Drama: 8.22%, Adventure: 5.82%, Romance: 5.14%, Fantasy: 3.42%, Crime: 3.08%, Animation: 1.03%, War: 0.68%"
7 Days,Thriller,17.142857142857142,"Thriller: 17.14%, Adventure: 17.14%, Action: 12.86%, Horror: 11.43%, Comedy: 10.00%, Sci-Fi: 10.00%, Mystery: 7.14%, Drama: 4.29%, Fantasy: 4.29%, Romance: 4.29%, War: 1.43%"
8 Found Dead,,0.0,
8MM,Thriller,17.857142857142858,"Thriller: 17.86%, Horror: 14.29%, Action: 12.50%, Sci-Fi: 10.71%, Comedy: 8.93%, Mystery: 7.14%, Drama: 7.14%, Crime: 7.14%, Romance: 3.57%, Fantasy: 3.57%, Adventure: 1.79%, War: 1.79%, Music: 1.79%, Animation: 1.79%"
A Fall from Grace,Thriller,20.168067226890756,"Thriller: 20.17%, Horror: 19.33%, Comedy: 13.45%, Action: 8.40%, Romance: 7.56%, Mystery: 7.56%, Crime: 6.72%, Drama: 5.04%, Sci-Fi: 5.04%, Adventure: 3.36%, Fantasy: 2.52%, War: 0.84%"
A Family Affair,Comedy,16.923076923076923,"Comedy: 16.92%, Thriller: 15.38%, Romance: 13.08%, Horror: 11.54%, Crime: 7.69%, Mystery: 7.69%, Adventure: 6.15%, Drama: 6.15%, Fantasy: 5.38%, Action: 4.62%, Sci-Fi: 3.08%, Music: 2.31%"
