Movie,Top Genre,Top Percentage,All Genres
'V for Vendetta' Unmasked,,0.0,
12 Angry Men,Drama,41.724137931034484,"Drama: 41.72%, Adventure: 7.59%, Crime: 6.90%, Thriller: 6.21%, Fantasy: 5.86%, Comedy: 5.86%, Family: 5.52%, Animation: 4.14%, Sci-Fi: 3.79%, Mystery: 3.45%, Romance: 2.07%, Action: 1.72%, War: 1.72%, Biography: 1.38%, Sport: 1.03%, Horror: 0.69%, Music: 0.34%"
12 Years a Slave,Drama,47.32824427480916,"Drama: 47.33%, Adventure: 6.87%, Thriller: 6.11%, Crime: 5.34%, Biography: 4.58%, History: 4.58%, Fantasy: 4.58%, Comedy: 3.82%, Mystery: 3.82%, Romance: 3.82%, Animation: 2.29%, Family: 2.29%, Action: 2.29%, Western: 0.76%, Music: 0.76%, War: 0.76%"
12th Fail,Drama,53.086419753086425,"Drama: 53.09%, Adventure: 6.17%, Fantasy: 6.17%, Comedy: 4.94%, Romance: 4.94%, Thriller: 4.94%, Animation: 4.94%, Family: 3.70%, Action: 2.47%, Crime: 2.47%, Sport: 1.23%, Biography: 1.23%, Music: 1.23%, Sci-Fi: 1.23%, War: 1.23%"
1917,Drama,42.0,"Drama: 42.00%, War: 13.50%, Action: 11.50%, Adventure: 8.00%, Comedy: 4.00%, Family: 4.00%, Mystery: 2.50%, Sci-Fi: 2.50%, Fantasy: 2.00%, History: 2.00%, Biography: 1.50%, Animation: 1.50%, Thriller: 1.50%, Music: 1.00%, Crime: 1.00%, Film-Noir: 0.50%, Romance: 0.50%, Sport: 0.50%"
2001_ A Space Odyssey,Drama,25.108225108225106,"Drama: 25.11%, Adventure: 18.61%, Sci-Fi: 18.18%, Action: 5.63%, Family: 4.76%, Mystery: 4.33%, Thriller: 3.90%, Fantasy: 3.90%, Animation: 3.46%, Crime: 2.16%, Comedy: 2.16%, War: 1.73%, Biography: 1.73%, Horror: 1.30%, Sport: 1.30%, Romance: 1.30%, Music: 0.43%"
2010_ The Year We Make Contact,,0.0,
2036_ Nexus Dawn,,0.0,
21 Grams,Drama,36.94267515923567,"Drama: 36.94%, Adventure: 12.10%, Fantasy: 10.19%, Family: 8.28%, Comedy: 5.10%, Animation: 4.46%, Crime: 4.46%, Thriller: 4.46%, Action: 3.18%, Sci-Fi: 2.55%, Romance: 2.55%, Mystery: 1.91%, Horror: 1.27%, War: 0.64%, Biography: 0.64%, Short: 0.64%, Film-Noir: 0.64%"
3 Idiots,Drama,32.608695652173914,"Drama: 32.61%, Adventure: 13.04%, Comedy: 9.42%, Fantasy: 9.06%, Animation: 6.88%, Family: 6.52%, Sci-Fi: 5.80%, Thriller: 5.07%, Action: 4.35%, Crime: 1.81%, Horror: 1.45%, Romance: 1.09%, Mystery: 1.09%, Biography: 0.72%, Sport: 0.72%, Short: 0.36%"
500 Days of Summer,Drama,39.54545454545455,"Drama: 39.55%, Adventure: 16.82%, Comedy: 11.82%, Action: 5.91%, Fantasy: 5.45%, Family: 5.00%, Animation: 4.55%, Thriller: 4.09%, Mystery: 2.27%, Crime: 1.36%, War: 0.91%, Sci-Fi: 0.91%, Romance: 0.45%, Biography: 0.45%, History: 0.45%"
96,Drama,38.80597014925373,"Drama: 38.81%, Biography: 12.94%, War: 12.44%, History: 11.44%, Action: 2.99%, Adventure: 2.99%, Family: 2.99%, Sci-Fi: 2.49%, Thriller: 2.49%, Mystery: 1.99%, Romance: 1.99%, Crime: 1.49%, Fantasy: 1.49%, Animation: 1.49%, Comedy: 1.00%, Music: 1.00%"
A Beautiful Mind,Drama,27.27272727272727,"Drama: 27.27%, Adventure: 9.09%, Comedy: 8.08%, Fantasy: 7.07%, Family: 6.57%, Action: 5.56%, Mystery: 5.56%, Animation: 5.05%, Biography: 5.05%, Thriller: 4.55%, War: 3.54%, Crime: 3.03%, Sci-Fi: 2.53%, Romance: 2.02%, Music: 1.52%, Sport: 1.52%, Horror: 1.01%, History: 0.51%, Documentary: 0.51%"
A Boy Named Death,,0.0,
A Boy of Flanders,,0.0,
