Name,Similar Movies
The Shawshank Redemption,"The Dark Knight, The Godfather, Forrest Gump, Fight Club, Pulp Fiction, Inception, Schindler's List, The Green Mile, Se7en, The Lord of the Rings: The Return of the King, The Godfather Part II, 12 Angry Men"
The Godfather,"The Godfather Part II, The Shawshank Redemption, The Dark Knight, Pulp Fiction, Forrest Gump, The Godfather Part III, Fight Club, Goodfellas, The Lord of the Rings: The Return of the King, Schindler's List, Inception, The Silence of the Lambs"
The Dark Knight,"The Dark Knight Rises, Batman Begins, Inception, The Shawshank Redemption, Fight Club, The Lord of the Rings: The Return of the King, Forrest Gump, The Godfather, Pulp Fiction, The Lord of the Rings: The Fellowship of the Ring, The Matrix, Joker"
The Godfather Part II,"The Godfather, The Godfather Part III, The Shawshank Redemption, Schindler's List, Goodfellas, Pulp Fiction, The Dark Knight, The Lord of the Rings: The Return of the King, Forrest Gump, 12 Angry Men, Fight Club, The Good, the Bad and the Ugly"
Schindler's List,"The Shawshank Redemption, Forrest Gump, Pulp Fiction, Saving Private Ryan, The Godfather, The Godfather Part II, 12 Angry Men, The Lord of the Rings: The Return of the King, The Silence of the Lambs, The Pianist, Fight Club, The Green Mile"
The Lord of the Rings: The Return of the King,"The Lord of the Rings: The Two Towers, The Lord of the Rings: The Fellowship of the Ring, The Dark Knight, The Matrix, Forrest Gump, The Shawshank Redemption, Pulp Fiction, Inception, Star Wars: Episode V - The Empire Strikes Back, The Hobbit: An Unexpected Journey, Fight Club, Schindler's List"
12 Angry Men,"Schindler's List, The Shawshank Redemption, The Godfather Part II, The Good, the Bad and the Ugly, The Godfather, Pulp Fiction, Forrest Gump, One Flew Over the Cuckoo's Nest, The Lord of the Rings: The Return of the King, The Dark Knight, Fight Club, Goodfellas"
The Lord of the Rings: The Fellowship of the Ring,"The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King, The Matrix, The Hobbit: An Unexpected Journey, Forrest Gump, The Dark Knight, Star Wars: Episode V - The Empire Strikes Back, Pulp Fiction, Inception, The Hobbit: The Desolation of Smaug, Fight Club, The Hobbit: The Battle of the Five Armies"
Pulp Fiction,"Fight Club, Forrest Gump, Django Unchained, The Shawshank Redemption, Inglourious Basterds, Se7en, Inception, The Dark Knight, The Godfather, Schindler's List, The Silence of the Lambs, The Matrix"
Inception,"Fight Club, The Dark Knight, Forrest Gump, Interstellar, Shutter Island, Se7en, The Matrix, Pulp Fiction, The Shawshank Redemption, The Wolf of Wall Street, The Prestige, The Dark Knight Rises"
Fight Club,"Inception, Forrest Gump, Se7en, Pulp Fiction, The Dark Knight, The Shawshank Redemption, The Matrix, The Wolf of Wall Street, Shutter Island, Django Unchained, Inglourious Basterds, The Silence of the Lambs"
Forrest Gump,"Fight Club, Pulp Fiction, Inception, The Shawshank Redemption, The Dark Knight, The Green Mile, The Matrix, Se7en, Saving Private Ryan, Schindler's List, The Lord of the Rings: The Return of the King, The Wolf of Wall Street"
The Lord of the Rings: The Two Towers,"The Lord of the Rings: The Return of the King, The Lord of the Rings: The Fellowship of the Ring, The Matrix, Star Wars: Episode V - The Empire Strikes Back, Forrest Gump, The Hobbit: An Unexpected Journey, The Dark Knight, The Hobbit: The Desolation of Smaug, The Hobbit: The Battle of the Five Armies, Star Wars: Episode IV - A New Hope, Fight Club, Inception"
"The Good, the Bad and the Ugly","Schindler's List, 12 Angry Men, For a Few Dollars More, A Fistful of Dollars, One Flew Over the Cuckoo's Nest, The Lord of the Rings: The Return of the King, The Godfather Part II, Forrest Gump, The Godfather, Goodfellas, Pulp Fiction, Star Wars: Episode V - The Empire Strikes Back"
12th Fail,"3 Idiots, Maharaja, Dangal, Lost Ladies, Animal, Jai Bhim, Capernaum, Kalki 2898 AD, Drishyam, PK, The Lives of Others, Dunki"
Interstellar,"Inception, The Dark Knight, Fight Club, Forrest Gump, Se7en, The Shawshank Redemption, The Wolf of Wall Street, The Matrix, Let Us Prey: A Ministry of Scandals, Who Killed Robert Wone?, Hell Camp: Teen Nightmare, Teen Torture, Inc."
Goodfellas,"Pulp Fiction, The Godfather, The Godfather Part II, Se7en, Fight Club, The Silence of the Lambs, One Flew Over the Cuckoo's Nest, Forrest Gump, The Departed, Inception, The Matrix, Schindler's List"
The Matrix,"Inception, Fight Club, Forrest Gump, The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King, The Lord of the Rings: The Fellowship of the Ring, Pulp Fiction, The Matrix Reloaded, The Dark Knight, Star Wars: Episode V - The Empire Strikes Back, Se7en, Saving Private Ryan"
One Flew Over the Cuckoo's Nest,"Goodfellas, The Silence of the Lambs, The Good, the Bad and the Ugly, Schindler's List, Se7en, 12 Angry Men, Forrest Gump, Life Is Beautiful, Saving Private Ryan, Pulp Fiction, The Green Mile, The Matrix"
Star Wars: Episode V - The Empire Strikes Back,"Star Wars: Episode IV - A New Hope, Star Wars: Episode VI - Return of the Jedi, Star Wars: Episode III - Revenge of the Sith, Star Wars: Episode I - The Phantom Menace, Star Wars: Episode II - Attack of the Clones, Star Wars: Episode VII - The Force Awakens, The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King, The Matrix, The Lord of the Rings: The Fellowship of the Ring, Star Wars: Episode VIII - The Last Jedi, Back to the Future"
Jai Bhim,"Soorarai Pottru, Maharaja, Vikram, Kaithi, 12th Fail, Asuran, Sita Ramam, Dangal, Vikram Vedha, 96, K.G.F: Chapter 1, Raatchasan"
The Silence of the Lambs,"Se7en, Pulp Fiction, Forrest Gump, Saving Private Ryan, The Green Mile, Fight Club, Inception, The Matrix, One Flew Over the Cuckoo's Nest, Goodfellas, Hannibal, Schindler's List"
Se7en,"Fight Club, The Silence of the Lambs, Inception, Pulp Fiction, Shutter Island, Forrest Gump, The Shawshank Redemption, The Green Mile, The Matrix, Django Unchained, The Dark Knight, Saving Private Ryan"
Saving Private Ryan,"The Green Mile, Forrest Gump, The Silence of the Lambs, Schindler's List, Se7en, The Pianist, The Matrix, Terminator 2: Judgment Day, Fight Club, Inception, Pulp Fiction, The Shawshank Redemption"
The Green Mile,"Saving Private Ryan, Forrest Gump, The Shawshank Redemption, The Silence of the Lambs, Se7en, The Pianist, Fight Club, Schindler's List, Life Is Beautiful, The Matrix, Back to the Future, Pulp Fiction"
Spider-Man: Across the Spider-Verse,"Spider-Man: No Way Home, Avengers: Infinity War, Avengers: Endgame, Dune: Part Two, Star Wars: Episode IV - A New Hope, Back to the Future, The Dark Knight, The Matrix, Spider-Man: Far from Home, Whiplash, Spider-Man, Spider-Man: Homecoming"
City of God,"Life Is Beautiful, American History X, Saving Private Ryan, Léon: The Professional, Seven Samurai, The Silence of the Lambs, One Flew Over the Cuckoo's Nest, The Green Mile, Goodfellas, Se7en, The Pianist, The Departed"
Spirited Away,"Howl's Moving Castle, My Neighbor Totoro, The Lion King, Ponyo, Kiki's Delivery Service, WALL·E, Castle in the Sky, Up, Spirited Away: Live on Stage, Coco, Monsters, Inc., Ratatouille"
Star Wars: Episode IV - A New Hope,"Star Wars: Episode V - The Empire Strikes Back, Star Wars: Episode VI - Return of the Jedi, Star Wars: Episode III - Revenge of the Sith, Star Wars: Episode I - The Phantom Menace, Star Wars: Episode II - Attack of the Clones, Star Wars: Episode VII - The Force Awakens, Back to the Future, Star Wars: Episode VIII - The Last Jedi, Rogue One: A Star Wars Story, The Lord of the Rings: The Two Towers, Terminator 2: Judgment Day, Star Wars: Episode IX - The Rise of Skywalker"
Terminator 2: Judgment Day,"The Terminator, Saving Private Ryan, Back to the Future, Star Wars: Episode IV - A New Hope, The Matrix, Terminator 3: Rise of the Machines, Star Wars: Episode V - The Empire Strikes Back, The Godfather, The Green Mile, The Silence of the Lambs, The Golden Boy, The Lord of the Rings: The Return of the King"
It's a Wonderful Life,"Spirited Away, The Lion King, It's a Wonderful Life: The Rest of the Story, Toy Story, WALL·E, The Wizard of Oz, Spider-Man: Into the Spider-Verse, Toy Story 3, Up, Coco, Finding Nemo, Monsters, Inc."
Life Is Beautiful,"The Pianist, City of God, The Green Mile, Saving Private Ryan, Schindler's List, One Flew Over the Cuckoo's Nest, Forrest Gump, The Silence of the Lambs, American History X, The Intouchables, Back to the Future, Seven Samurai"
Seven Samurai,"City of God, Life Is Beautiful, The Good, the Bad and the Ugly, One Flew Over the Cuckoo's Nest, Harakiri, The Silence of the Lambs, Saving Private Ryan, Goodfellas, Terminator 2: Judgment Day, Star Wars: Episode IV - A New Hope, The Green Mile, 12 Angry Men"
Harakiri,"Cinema Paradiso, Modern Times, Seven Samurai, City Lights, Grave of the Fireflies, Casablanca, Once Upon a Time in the West, American History X, The Usual Suspects, The Intouchables, Rear Window, High and Low"
Gladiator,"Saving Private Ryan, Forrest Gump, The Green Mile, The Matrix, The Lord of the Rings: The Return of the King, The Lord of the Rings: The Two Towers, Se7en, The Shawshank Redemption, The Lord of the Rings: The Fellowship of the Ring, Inception, The Dark Knight, Back to the Future"
Dune: Part Two,"Dune: Part One, Oppenheimer, Spider-Man: Across the Spider-Verse, Inception, Fight Club, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Return of the King, The Matrix, The Lord of the Rings: The Two Towers, Dune, The Dark Knight, Forrest Gump"
