Movie,Top Genre,Top Percentage,All Genres
'V for Vendetta' Unmasked,,0.0,
12 Angry Men,Drama,11.265164644714037,"Drama: 11.27%, Crime: 8.23%, Thriller: 8.06%, Comedy: 7.28%, Adventure: 7.02%, Mystery: 6.07%, Fantasy: 5.89%, Action: 5.46%, Family: 5.03%, Sci-Fi: 4.94%, Animation: 4.94%, Biography: 4.42%, Romance: 3.81%, War: 3.55%, Horror: 3.21%, Music: 2.77%, Sport: 2.25%, History: 1.91%, Musical: 1.21%, Film-Noir: 1.21%, Western: 1.13%, Short: 0.35%"
12 Years a Slave,Drama,11.190053285968029,"Drama: 11.19%, Comedy: 10.48%, Thriller: 7.64%, Action: 7.10%, Romance: 6.93%, Adventure: 6.04%, Biography: 5.86%, Fantasy: 5.86%, Crime: 5.15%, Sci-Fi: 4.80%, War: 4.80%, Mystery: 4.44%, History: 3.55%, Western: 3.55%, Family: 3.20%, Animation: 2.31%, Horror: 1.95%, Music: 1.60%, Musical: 1.60%, Sport: 1.42%, Short: 0.36%, Film-Noir: 0.18%"
12th Fail,Drama,10.514018691588785,"Drama: 10.51%, Thriller: 8.18%, Action: 7.01%, Fantasy: 6.78%, Adventure: 6.54%, Comedy: 6.54%, Mystery: 6.54%, Crime: 6.31%, Family: 5.37%, Biography: 5.37%, Animation: 5.14%, Romance: 4.91%, Sci-Fi: 4.67%, War: 3.27%, Horror: 3.04%, Music: 3.04%, Sport: 2.10%, History: 1.87%, Musical: 1.64%, Western: 0.93%, Short: 0.23%"
1917,Drama,11.230585424133812,"Drama: 11.23%, Adventure: 8.72%, Action: 8.00%, War: 7.77%, Fantasy: 6.81%, Comedy: 6.69%, Sci-Fi: 5.50%, Thriller: 5.50%, Animation: 5.02%, Family: 5.02%, Biography: 4.90%, Romance: 4.54%, History: 4.30%, Mystery: 4.18%, Crime: 3.58%, Sport: 2.03%, Horror: 1.67%, Music: 1.55%, Western: 0.96%, Musical: 0.84%, Short: 0.60%, Film-Noir: 0.60%"
2001_ A Space Odyssey,Drama,11.734028683181226,"Drama: 11.73%, Sci-Fi: 10.30%, Adventure: 10.30%, Action: 7.95%, Thriller: 7.30%, Fantasy: 5.87%, Mystery: 5.74%, Comedy: 5.61%, Family: 5.48%, Animation: 5.22%, Crime: 4.43%, Biography: 4.17%, Horror: 3.52%, War: 3.26%, Romance: 3.13%, Music: 2.35%, Sport: 1.43%, History: 1.04%, Short: 0.78%, Western: 0.26%, Film-Noir: 0.13%"
2010_ The Year We Make Contact,,0.0,
2036_ Nexus Dawn,,0.0,
21 Grams,Drama,9.27536231884058,"Drama: 9.28%, Thriller: 7.10%, Comedy: 7.10%, Adventure: 6.96%, Crime: 6.81%, Mystery: 6.52%, Action: 5.94%, Fantasy: 5.80%, Sci-Fi: 5.36%, Animation: 5.07%, Horror: 4.93%, War: 4.93%, Family: 4.64%, Biography: 4.49%, Romance: 3.48%, History: 2.32%, Musical: 2.17%, Sport: 2.03%, Music: 2.03%, Film-Noir: 1.88%, Western: 0.72%, Short: 0.43%"
3 Idiots,Drama,9.774436090225564,"Drama: 9.77%, Thriller: 8.46%, Adventure: 8.18%, Action: 7.80%, Comedy: 7.42%, Fantasy: 6.67%, Family: 6.58%, Sci-Fi: 6.20%, Mystery: 5.45%, Animation: 5.36%, Horror: 5.08%, Crime: 4.51%, Romance: 4.14%, War: 3.20%, Biography: 3.10%, Sport: 2.73%, Music: 1.79%, Musical: 1.60%, History: 0.94%, Film-Noir: 0.66%, Western: 0.28%, Short: 0.09%"
500 Days of Summer,Drama,10.915492957746478,"Drama: 10.92%, Adventure: 8.92%, Comedy: 8.45%, Thriller: 8.22%, Family: 7.51%, Fantasy: 7.51%, Animation: 7.39%, Action: 6.22%, Mystery: 4.93%, Romance: 4.93%, Sci-Fi: 4.58%, Crime: 4.34%, Biography: 3.64%, War: 3.17%, Horror: 2.00%, Musical: 1.53%, Sport: 1.41%, Music: 1.29%, History: 1.06%, Film-Noir: 0.82%, Western: 0.82%, Short: 0.23%, Documentary: 0.12%"
96,Drama,11.976047904191617,"Drama: 11.98%, Biography: 8.38%, War: 6.44%, Comedy: 5.84%, Romance: 5.84%, Family: 5.54%, Mystery: 5.54%, Action: 5.39%, Adventure: 5.39%, Crime: 5.39%, History: 5.24%, Thriller: 5.24%, Fantasy: 4.04%, Music: 3.89%, Sci-Fi: 3.89%, Animation: 3.44%, Horror: 2.99%, Sport: 2.54%, Musical: 2.25%, Western: 0.45%, Film-Noir: 0.30%"
A Beautiful Mind,Drama,11.153846153846155,"Drama: 11.15%, Mystery: 8.08%, Adventure: 7.50%, Thriller: 7.12%, Comedy: 6.54%, Fantasy: 6.54%, Family: 6.35%, Sci-Fi: 5.77%, Action: 5.58%, Animation: 5.19%, Horror: 5.19%, Biography: 4.42%, War: 4.23%, Crime: 4.23%, Romance: 3.65%, Sport: 2.88%, Music: 2.12%, History: 1.15%, Musical: 1.15%, Western: 0.58%, Short: 0.38%, Documentary: 0.19%"
A Boy Named Death,,0.0,
A Boy of Flanders,,0.0,
A Clockwork Orange,Drama,11.137328928739972,"Drama: 11.14%, Thriller: 7.79%, Adventure: 7.17%, Comedy: 7.03%, Fantasy: 6.80%, Action: 6.42%, Mystery: 6.18%, Crime: 6.13%, Sci-Fi: 6.09%, Family: 4.86%, Animation: 4.77%, Horror: 4.34%, Biography: 4.29%, War: 4.25%, Romance: 3.96%, Sport: 2.08%, History: 1.98%, Music: 1.70%, Musical: 0.99%, Short: 0.94%, Western: 0.66%, Film-Noir: 0.42%"
A Dangerous Man_ Lawrence After Arabia,,0.0,
A Dangerous Son,,0.0,
A Dog's Life,,0.0,
a Film Within History,,0.0,
A Fistful of Dollars,,0.0,
A Good Day to Die Hard,Drama,10.434782608695652,"Drama: 10.43%, Thriller: 9.44%, Comedy: 6.96%, Action: 6.83%, Adventure: 6.71%, Mystery: 6.46%, Crime: 6.21%, Sci-Fi: 6.21%, Fantasy: 5.96%, Romance: 4.97%, Horror: 4.84%, War: 4.72%, Biography: 4.72%, Family: 3.48%, Animation: 3.35%, History: 2.48%, Musical: 1.37%, Western: 1.37%, Short: 1.12%, Sport: 1.12%, Music: 0.99%, Film-Noir: 0.25%"
