Movie,Top Genre,Top Percentage,All Genres
#Realityhigh,,0.0,
10.0 Earthquake,,0.0,
11-11-11,Drama,10.973084886128365,"Drama: 10.97%, Thriller: 9.11%, Action: 8.70%, Comedy: 8.59%, Sci-Fi: 7.87%, Adventure: 6.63%, Crime: 6.31%, Mystery: 5.90%, Fantasy: 5.38%, Horror: 5.28%, War: 3.83%, Animation: 3.73%, Romance: 3.62%, Biography: 3.31%, Family: 2.90%, Music: 2.90%, History: 1.14%, Sport: 1.04%, Western: 0.83%, Musical: 0.72%, Short: 0.62%, Film-Noir: 0.62%"
11_11_11,Drama,10.973084886128365,"Drama: 10.97%, Thriller: 9.11%, Action: 8.70%, Comedy: 8.59%, Sci-Fi: 7.87%, Adventure: 6.63%, Crime: 6.31%, Mystery: 5.90%, Fantasy: 5.38%, Horror: 5.28%, War: 3.83%, Animation: 3.73%, Romance: 3.62%, Biography: 3.31%, Family: 2.90%, Music: 2.90%, History: 1.14%, Sport: 1.04%, Western: 0.83%, Musical: 0.72%, Short: 0.62%, Film-Noir: 0.62%"
12_12_12,Drama,11.265164644714037,"Drama: 11.27%, Crime: 8.23%, Thriller: 8.06%, Comedy: 7.28%, Adventure: 7.02%, Mystery: 6.07%, Fantasy: 5.89%, Action: 5.46%, Family: 5.03%, Sci-Fi: 4.94%, Animation: 4.94%, Biography: 4.42%, Romance: 3.81%, War: 3.55%, Horror: 3.21%, Music: 2.77%, Sport: 2.25%, History: 1.91%, Musical: 1.21%, Film-Noir: 1.21%, Western: 1.13%, Short: 0.35%"
13,,0.0,
13_13_13,Drama,10.754716981132075,"Drama: 10.75%, Comedy: 7.92%, Thriller: 7.36%, Adventure: 7.17%, Action: 6.98%, Fantasy: 6.60%, Sci-Fi: 6.60%, Mystery: 6.04%, Crime: 5.85%, Animation: 5.47%, Family: 5.47%, Romance: 4.53%, Horror: 4.15%, Biography: 3.58%, Sport: 3.02%, War: 2.83%, Music: 2.45%, Musical: 1.13%, History: 0.94%, Film-Noir: 0.38%, Short: 0.38%, Western: 0.38%"
2001_ A Space Travesty,,0.0,
2011 ESPY Awards,,0.0,
2012 ESPY Awards,,0.0,
3 Sleeps,,0.0,
321 Action,,0.0,
365 Days,Drama,9.872611464968154,"Drama: 9.87%, Comedy: 8.28%, Thriller: 7.48%, Adventure: 7.32%, Crime: 7.17%, Action: 6.85%, Mystery: 5.89%, Fantasy: 5.73%, Romance: 5.73%, Sci-Fi: 5.57%, Biography: 5.41%, Family: 4.46%, War: 4.30%, Animation: 3.50%, Sport: 3.50%, Horror: 3.03%, Music: 1.91%, Musical: 1.59%, History: 1.43%, Western: 0.64%, Short: 0.16%, Film-Noir: 0.16%"
365 Days_ This Day,,0.0,
47 Meters Down,Drama,11.237016052880074,"Drama: 11.24%, Adventure: 8.69%, Sci-Fi: 7.65%, Animation: 7.37%, Mystery: 7.27%, Thriller: 7.27%, Family: 6.99%, Action: 6.89%, Comedy: 6.61%, Fantasy: 6.14%, Biography: 5.00%, Horror: 3.59%, Crime: 3.59%, War: 3.59%, Romance: 3.31%, Music: 1.32%, Sport: 1.23%, Musical: 0.76%, History: 0.76%, Western: 0.38%, Short: 0.19%, Film-Noir: 0.19%"
47 Meters Down_ Uncaged,Drama,12.323232323232324,"Drama: 12.32%, Adventure: 9.09%, Thriller: 9.09%, Animation: 7.68%, Horror: 6.87%, Family: 6.67%, Comedy: 6.46%, Mystery: 6.46%, Fantasy: 6.06%, Sci-Fi: 6.06%, Action: 5.66%, Romance: 3.43%, War: 2.83%, Crime: 2.63%, Music: 2.22%, Biography: 1.82%, Musical: 1.62%, Sport: 1.21%, Short: 0.61%, History: 0.61%, Western: 0.40%, Film-Noir: 0.20%"
51,Drama,9.391891891891891,"Drama: 9.39%, Adventure: 7.91%, Action: 7.77%, Fantasy: 7.64%, Comedy: 7.30%, Thriller: 6.96%, Sci-Fi: 6.82%, Family: 6.01%, Animation: 5.88%, Mystery: 5.74%, Horror: 5.41%, Crime: 4.80%, Biography: 3.85%, War: 3.72%, Romance: 3.04%, Short: 2.09%, Music: 1.69%, History: 1.55%, Sport: 0.95%, Musical: 0.68%, Western: 0.68%, Film-Noir: 0.14%"
