Movie,Top Genre,Top Percentage,All Genres
'V for Vendetta' Unmasked,,0.0,
12 Angry Men,Drama,25.60203564970822,"Drama: 25.60%, Crime: 10.78%, Thriller: 9.22%, Comedy: 7.60%, Adventure: 7.43%, Mystery: 5.71%, Fantasy: 5.05%, Sci-Fi: 4.55%, Action: 4.45%, Family: 3.86%, Animation: 3.52%, Romance: 2.87%, War: 2.32%, Biography: 2.16%, Horror: 2.06%, Sport: 1.00%, Music: 0.88%, History: 0.48%, Western: 0.14%, Short: 0.11%, Musical: 0.11%, Film-Noir: 0.09%, Documentary: 0.00%"
12 Years a Slave,Drama,23.47286080214735,"Drama: 23.47%, Comedy: 11.25%, Thriller: 8.23%, Romance: 7.20%, Crime: 6.22%, Action: 5.85%, Fantasy: 5.39%, Adventure: 5.21%, Biography: 5.16%, Sci-Fi: 3.86%, History: 3.42%, War: 3.16%, Mystery: 3.13%, Family: 2.01%, Western: 1.98%, Animation: 1.55%, Horror: 1.15%, Music: 0.77%, Musical: 0.52%, Sport: 0.39%, Short: 0.06%, Film-Noir: 0.01%, Documentary: 0.00%"
12th Fail,Drama,27.410449185000502,"Drama: 27.41%, Thriller: 10.18%, Action: 7.14%, Fantasy: 6.93%, Romance: 6.75%, Comedy: 6.75%, Adventure: 5.12%, Crime: 4.92%, Mystery: 4.34%, Family: 3.61%, Animation: 3.48%, Sci-Fi: 3.01%, Biography: 2.78%, War: 2.36%, Horror: 1.80%, Sport: 1.45%, Music: 0.93%, History: 0.57%, Musical: 0.29%, Western: 0.15%, Short: 0.02%, Documentary: 0.00%, Film-Noir: 0.00%"
1917,Drama,23.398759566135517,"Drama: 23.40%, Action: 9.80%, Adventure: 9.70%, War: 9.69%, Comedy: 6.11%, Fantasy: 5.35%, Thriller: 5.11%, Sci-Fi: 4.90%, Family: 4.31%, Romance: 3.70%, Biography: 3.27%, Mystery: 3.15%, Animation: 2.94%, History: 2.93%, Crime: 1.74%, Horror: 1.09%, Music: 1.02%, Sport: 0.90%, Film-Noir: 0.41%, Western: 0.21%, Musical: 0.14%, Short: 0.13%, Documentary: 0.00%"
2001_ A Space Odyssey,Drama,18.613067981060354,"Drama: 18.61%, Sci-Fi: 15.37%, Adventure: 14.02%, Action: 8.27%, Thriller: 6.13%, Mystery: 4.48%, Comedy: 4.47%, Family: 4.05%, Fantasy: 4.04%, Horror: 3.47%, Animation: 3.31%, Crime: 3.21%, Biography: 2.78%, Music: 2.39%, War: 2.07%, Romance: 1.87%, Sport: 0.94%, History: 0.33%, Short: 0.14%, Western: 0.05%, Film-Noir: 0.01%, Documentary: 0.00%, Musical: 0.00%"
2010_ The Year We Make Contact,,0.0,
2036_ Nexus Dawn,,0.0,
21 Grams,Drama,23.5271001663348,"Drama: 23.53%, Crime: 9.84%, Thriller: 9.02%, Adventure: 7.75%, Comedy: 6.69%, Fantasy: 6.16%, Mystery: 6.02%, Action: 4.87%, Family: 4.54%, Animation: 4.03%, Sci-Fi: 3.77%, Horror: 3.15%, War: 2.62%, Biography: 2.62%, Romance: 2.44%, Musical: 1.18%, Film-Noir: 0.43%, History: 0.39%, Sport: 0.34%, Short: 0.27%, Music: 0.26%, Western: 0.11%, Documentary: 0.00%"
3 Idiots,Drama,17.73745255898379,"Drama: 17.74%, Thriller: 9.65%, Adventure: 8.66%, Action: 8.49%, Comedy: 7.62%, Horror: 7.38%, Sci-Fi: 6.53%, Fantasy: 6.40%, Family: 4.90%, Animation: 4.27%, Crime: 4.10%, Mystery: 3.83%, Romance: 3.21%, Biography: 1.69%, War: 1.62%, Sport: 1.45%, Music: 0.76%, Short: 0.68%, Musical: 0.65%, History: 0.17%, Film-Noir: 0.12%, Western: 0.07%, Documentary: 0.00%"
500 Days of Summer,Drama,25.31812479552937,"Drama: 25.32%, Comedy: 10.69%, Adventure: 10.25%, Thriller: 7.95%, Fantasy: 6.51%, Family: 5.88%, Animation: 5.77%, Action: 5.71%, Romance: 3.87%, Mystery: 3.61%, Sci-Fi: 3.60%, Crime: 3.25%, Biography: 1.95%, War: 1.90%, Horror: 1.69%, History: 0.58%, Sport: 0.38%, Musical: 0.33%, Music: 0.32%, Film-Noir: 0.21%, Western: 0.18%, Short: 0.04%, Documentary: 0.03%"
96,Drama,24.10042326221272,"Drama: 24.10%, Biography: 9.65%, War: 8.69%, History: 7.13%, Romance: 6.14%, Comedy: 5.30%, Thriller: 4.81%, Adventure: 4.58%, Family: 4.51%, Action: 4.30%, Crime: 4.14%, Mystery: 3.82%, Fantasy: 2.68%, Horror: 2.52%, Sci-Fi: 2.46%, Animation: 2.16%, Music: 1.59%, Musical: 0.65%, Sport: 0.64%, Film-Noir: 0.08%, Western: 0.04%, Documentary: 0.00%, Short: 0.00%"
A Beautiful Mind,Drama,20.56756460681686,"Drama: 20.57%, Mystery: 8.45%, Thriller: 7.53%, Adventure: 7.18%, Comedy: 6.32%, Action: 5.46%, Horror: 5.23%, Sci-Fi: 5.20%, Family: 5.14%, Fantasy: 5.10%, Biography: 4.45%, Romance: 4.11%, Animation: 3.74%, War: 3.68%, Crime: 3.40%, Music: 1.45%, Sport: 1.26%, Documentary: 0.68%, History: 0.60%, Musical: 0.29%, Western: 0.13%, Short: 0.04%, Film-Noir: 0.00%"
A Boy Named Death,,0.0,
A Boy of Flanders,,0.0,
A Clockwork Orange,Drama,24.462348678619122,"Drama: 24.46%, Thriller: 9.96%, Comedy: 6.90%, Crime: 6.82%, Adventure: 6.59%, Action: 5.94%, Fantasy: 5.61%, Mystery: 5.21%, Sci-Fi: 5.15%, Romance: 3.89%, Family: 3.85%, Animation: 3.44%, War: 3.31%, Biography: 3.07%, Horror: 2.94%, History: 0.67%, Sport: 0.66%, Music: 0.61%, Musical: 0.41%, Western: 0.19%, Short: 0.17%, Film-Noir: 0.14%, Documentary: 0.00%"
A Dangerous Man_ Lawrence After Arabia,,0.0,
A Dangerous Son,,0.0,
A Dog's Life,,0.0,
a Film Within History,,0.0,
A Fistful of Dollars,,0.0,
A Good Day to Die Hard,Drama,18.99824581744725,"Drama: 19.00%, Thriller: 12.70%, Action: 7.86%, Comedy: 7.59%, Romance: 6.58%, Mystery: 5.76%, Adventure: 5.72%, Sci-Fi: 5.25%, Crime: 4.97%, Fantasy: 4.70%, War: 3.86%, Biography: 3.35%, Horror: 3.10%, Family: 2.87%, History: 2.48%, Animation: 2.34%, Music: 0.79%, Sport: 0.45%, Western: 0.27%, Musical: 0.21%, Short: 0.13%, Film-Noir: 0.04%, Documentary: 0.00%"
A Hero,Drama,24.16306622658665,"Drama: 24.16%, Thriller: 10.24%, Comedy: 9.69%, Crime: 9.06%, Adventure: 8.25%, Mystery: 6.92%, Biography: 5.97%, Fantasy: 5.51%, Action: 3.69%, Romance: 2.83%, Sci-Fi: 2.65%, Family: 2.13%, War: 1.91%, Horror: 1.79%, Animation: 1.70%, Western: 1.32%, History: 0.80%, Sport: 0.68%, Short: 0.33%, Music: 0.28%, Film-Noir: 0.05%, Musical: 0.05%, Documentary: 0.00%"
A Man Escaped,,0.0,
A Message for Peace_ Making 'Hotel Rwanda',,0.0,
A Nightmare on Elm Street,Drama,20.2278667967735,"Drama: 20.23%, Thriller: 12.03%, Comedy: 10.05%, Crime: 7.27%, Mystery: 6.59%, Adventure: 6.39%, Action: 6.27%, Sci-Fi: 6.15%, Fantasy: 5.35%, Horror: 4.48%, Family: 4.26%, Animation: 3.52%, Romance: 2.19%, War: 1.86%, Biography: 1.42%, Sport: 0.79%, Western: 0.36%, Music: 0.28%, Musical: 0.27%, History: 0.11%, Film-Noir: 0.08%, Short: 0.05%, Documentary: 0.00%"
A Separation,Drama,39.975349997612994,"Drama: 39.98%, Thriller: 10.51%, Action: 6.13%, Crime: 6.05%, Mystery: 5.92%, Fantasy: 4.64%, Romance: 4.17%, Comedy: 3.87%, Adventure: 3.12%, Family: 2.76%, Sci-Fi: 2.55%, War: 2.41%, Animation: 2.07%, Horror: 1.57%, Biography: 1.51%, Sport: 1.35%, History: 0.46%, Short: 0.44%, Music: 0.34%, Film-Noir: 0.07%, Western: 0.04%, Musical: 0.03%, Documentary: 0.00%"
