Movie,Top Genre,Top Percentage,All Genres
#Realityhigh,,0.0,
'Donnie Darko'_ Production Diary,,0.0,
10.0 Earthquake,,0.0,
11-11-11,Crime,6.906883873927157,"Crime: 6.91%, Mystery: 5.97%, Thriller: 5.92%, Comedy: 5.76%, Drama: 5.69%, Action: 5.52%, Romance: 4.96%, Biography: 4.86%, Sci-Fi: 4.75%, Musical: 4.65%, Music: 4.53%, Adventure: 4.53%, War: 4.24%, Animation: 4.17%, Fantasy: 4.05%, Horror: 3.89%, Family: 3.75%, Sport: 3.54%, Short: 2.87%, Western: 2.85%, History: 2.84%, Film-Noir: 2.30%, Documentary: 1.44%"
11_11_11,Crime,6.906883873927157,"Crime: 6.91%, Mystery: 5.97%, Thriller: 5.92%, Comedy: 5.76%, Drama: 5.69%, Action: 5.52%, Romance: 4.96%, Biography: 4.86%, Sci-Fi: 4.75%, Musical: 4.65%, Music: 4.53%, Adventure: 4.53%, War: 4.24%, Animation: 4.17%, Fantasy: 4.05%, Horror: 3.89%, Family: 3.75%, Sport: 3.54%, Short: 2.87%, Western: 2.85%, History: 2.84%, Film-Noir: 2.30%, Documentary: 1.44%"
12_12_12,Crime,6.805533799942018,"Crime: 6.81%, Mystery: 6.44%, Thriller: 6.29%, Drama: 5.61%, Film-Noir: 5.36%, War: 5.21%, Romance: 4.52%, Adventure: 4.49%, Comedy: 4.30%, Biography: 4.27%, Sci-Fi: 4.23%, Action: 4.20%, Family: 4.13%, Horror: 4.12%, History: 4.12%, Animation: 3.82%, Music: 3.65%, Fantasy: 3.62%, Short: 3.20%, Documentary: 3.09%, Musical: 2.99%, Western: 2.87%, Sport: 2.66%"
13,,0.0,
13_13_13,Romance,7.268085876799366,"Romance: 7.27%, Comedy: 6.23%, Horror: 6.07%, Mystery: 5.91%, Music: 5.79%, Thriller: 5.56%, Drama: 5.37%, Animation: 5.37%, Family: 5.33%, Sci-Fi: 4.85%, Crime: 4.76%, Action: 4.38%, Adventure: 4.34%, Fantasy: 4.32%, Sport: 4.07%, Musical: 3.87%, Biography: 3.74%, War: 3.54%, Film-Noir: 2.33%, History: 2.17%, Western: 2.11%, Short: 1.40%, Documentary: 1.20%"
1408,Mystery,6.569719974774658,"Mystery: 6.57%, Crime: 6.25%, Thriller: 6.05%, Romance: 5.65%, Comedy: 5.64%, Drama: 5.53%, Sci-Fi: 5.12%, Action: 5.03%, Horror: 4.74%, Adventure: 4.66%, Musical: 4.59%, War: 4.50%, Music: 4.36%, Biography: 3.89%, Sport: 3.69%, Animation: 3.69%, Fantasy: 3.59%, History: 3.49%, Film-Noir: 3.26%, Family: 3.25%, Short: 2.69%, Western: 2.53%, Documentary: 1.24%"
2001_ A Space Travesty,,0.0,
2011 ESPY Awards,,0.0,
2012 ESPY Awards,,0.0,
3 Ninjas Kick Back,,0.0,
3 Ninjas,,0.0,
3 Ninjas_ High Noon at Mega Mountain,,0.0,
3 Ninjas_ Knuckle Up,,0.0,
3 Sleeps,,0.0,
321 Action,,0.0,
365 Days,Romance,7.602755556765224,"Romance: 7.60%, Crime: 7.21%, Thriller: 6.58%, Mystery: 6.16%, Drama: 5.95%, Comedy: 5.85%, Action: 5.24%, Biography: 5.16%, Horror: 5.03%, Sci-Fi: 4.86%, Sport: 4.65%, Music: 4.20%, Adventure: 4.11%, War: 3.83%, Fantasy: 3.26%, Film-Noir: 3.01%, History: 2.87%, Musical: 2.83%, Animation: 2.66%, Family: 2.64%, Western: 2.55%, Short: 2.03%, Documentary: 1.70%"
365 Days_ This Day,,0.0,
47 Meters Down,Horror,7.073369931505019,"Horror: 7.07%, Western: 6.87%, War: 6.48%, Thriller: 5.96%, Drama: 5.94%, Adventure: 5.86%, Family: 5.74%, Mystery: 5.32%, Animation: 5.27%, Comedy: 5.00%, Sci-Fi: 4.05%, Romance: 4.01%, Biography: 4.01%, Sport: 3.98%, Fantasy: 3.95%, Action: 3.75%, Crime: 3.44%, Musical: 3.28%, History: 3.06%, Music: 2.36%, Short: 1.66%, Documentary: 1.53%, Film-Noir: 1.41%"
47 Meters Down_ Uncaged,Horror,11.180114994961542,"Horror: 11.18%, Adventure: 7.52%, Thriller: 7.33%, Western: 6.13%, Drama: 5.72%, Family: 5.45%, Animation: 5.33%, Mystery: 4.71%, Romance: 4.54%, Musical: 4.37%, War: 4.33%, Comedy: 4.32%, Sci-Fi: 3.94%, Sport: 3.71%, Fantasy: 3.64%, Action: 3.58%, Music: 3.13%, Short: 3.01%, Crime: 2.66%, History: 2.22%, Biography: 1.72%, Documentary: 0.92%, Film-Noir: 0.51%"
51,Sci-Fi,7.79739353818481,"Sci-Fi: 7.80%, Horror: 7.48%, Action: 6.45%, War: 6.12%, Thriller: 5.92%, Adventure: 5.16%, Mystery: 4.87%, Short: 4.61%, Drama: 4.26%, Family: 4.25%, Biography: 4.05%, Animation: 3.89%, Comedy: 3.75%, Fantasy: 3.68%, Crime: 3.65%, History: 3.61%, Romance: 3.25%, Music: 3.25%, Documentary: 3.19%, Musical: 3.07%, Western: 2.68%, Film-Noir: 2.55%, Sport: 2.46%"
7 Days,Sci-Fi,6.006322034474461,"Sci-Fi: 6.01%, Romance: 5.76%, War: 5.74%, Animation: 5.70%, Thriller: 5.62%, Mystery: 5.50%, Drama: 5.49%, Action: 4.98%, Adventure: 4.77%, Family: 4.67%, Fantasy: 4.54%, Crime: 4.44%, Comedy: 4.28%, Biography: 4.26%, Horror: 4.16%, Film-Noir: 4.09%, Western: 4.00%, Musical: 3.86%, Music: 3.22%, History: 3.20%, Sport: 3.11%, Short: 1.86%, Documentary: 0.76%"
8 Found Dead,,0.0,
8MM,Mystery,6.661925036337436,"Mystery: 6.66%, Crime: 6.09%, Thriller: 6.06%, Comedy: 5.58%, Drama: 5.33%, Action: 5.21%, Sci-Fi: 5.19%, Romance: 5.08%, War: 4.98%, Adventure: 4.86%, Horror: 4.32%, Music: 4.16%, Biography: 4.14%, Animation: 4.04%, Fantasy: 3.91%, Sport: 3.53%, Family: 3.47%, Film-Noir: 3.29%, Western: 3.12%, Musical: 3.11%, Short: 3.01%, History: 2.86%, Documentary: 1.99%"
A Babysitter's Guide to Monster Hunting,Family,7.302505612185809,"Family: 7.30%, Animation: 7.00%, Comedy: 5.91%, Fantasy: 5.63%, Mystery: 5.57%, Romance: 5.48%, Horror: 5.27%, Adventure: 5.17%, Thriller: 4.98%, War: 4.81%, Sci-Fi: 4.77%, Drama: 4.77%, Action: 4.11%, Western: 4.04%, Music: 3.71%, Crime: 3.46%, Musical: 3.43%, Biography: 3.35%, History: 3.34%, Sport: 2.59%, Film-Noir: 2.15%, Documentary: 2.08%, Short: 1.09%"
A Cinderella Story,Romance,6.278291435927008,"Romance: 6.28%, Music: 6.20%, Mystery: 6.16%, Musical: 6.02%, Family: 5.67%, Comedy: 5.32%, Drama: 4.92%, Thriller: 4.86%, Sci-Fi: 4.80%, Animation: 4.73%, Biography: 4.73%, Crime: 4.53%, Horror: 4.45%, Adventure: 4.45%, Fantasy: 4.36%, War: 4.00%, Action: 3.84%, Western: 3.55%, Sport: 3.25%, Film-Noir: 3.16%, History: 1.91%, Documentary: 1.77%, Short: 1.05%"
A Cinderella Story_ Christmas Wish,,0.0,
A Cinderella Story_ If the Shoe Fits,,0.0,
A Fall from Grace,Mystery,7.398763777364276,"Mystery: 7.40%, Thriller: 7.28%, Crime: 6.97%, Romance: 6.51%, Horror: 6.04%, Drama: 5.37%, Comedy: 4.86%, Action: 4.54%, Sci-Fi: 4.50%, Film-Noir: 4.30%, Animation: 4.25%, Documentary: 4.18%, War: 4.09%, Adventure: 3.95%, Family: 3.81%, Fantasy: 3.51%, Western: 3.37%, Short: 3.19%, Music: 2.88%, Biography: 2.88%, Sport: 2.48%, History: 2.08%, Musical: 1.55%"
A Family Affair,Romance,7.5018683532281765,"Romance: 7.50%, Music: 5.77%, Mystery: 5.56%, Comedy: 5.46%, Drama: 5.38%, Sci-Fi: 5.31%, Family: 5.23%, Thriller: 5.13%, War: 4.94%, Animation: 4.73%, Adventure: 4.66%, Action: 4.57%, Crime: 4.48%, Horror: 4.43%, Fantasy: 4.18%, Biography: 4.00%, Sport: 3.48%, Film-Noir: 3.41%, History: 3.41%, Musical: 3.14%, Western: 2.93%, Short: 1.26%, Documentary: 1.03%"
A Flying Jatt,Sci-Fi,6.267952379056846,"Sci-Fi: 6.27%, Animation: 6.18%, Action: 5.93%, Mystery: 5.78%, Family: 5.71%, Adventure: 5.66%, Fantasy: 5.46%, Thriller: 5.46%, Drama: 4.93%, Horror: 4.80%, Comedy: 4.76%, War: 4.65%, Crime: 4.36%, Music: 4.19%, Romance: 4.17%, Musical: 3.42%, Western: 3.26%, Biography: 3.11%, History: 2.65%, Sport: 2.60%, Film-Noir: 2.50%, Documentary: 2.15%, Short: 2.00%"
A Good Marriage,,0.0,
A Haunted House 2,,0.0,
A Haunted House,,0.0,
A Maldição Do Nevoeiro,,0.0,
A Million Ways to Die in the West,Western,6.513760646689096,"Western: 6.51%, Crime: 6.15%, Mystery: 5.74%, Drama: 5.59%, Thriller: 5.55%, Romance: 5.47%, Comedy: 5.45%, Sci-Fi: 4.80%, Action: 4.74%, Horror: 4.61%, Music: 4.53%, War: 4.40%, Biography: 4.25%, Adventure: 4.15%, Short: 3.82%, Fantasy: 3.82%, Family: 3.52%, Animation: 3.36%, History: 3.29%, Sport: 3.04%, Musical: 2.90%, Film-Noir: 2.83%, Documentary: 1.48%"
A Month by the Lake,,0.0,
