Movie,Top Genre,Top Percentage,All Genres
'V for Vendetta' Unmasked,,0.0,
12 Angry Men,Crime,6.805533799942018,"Crime: 6.81%, Mystery: 6.44%, Thriller: 6.29%, Drama: 5.61%, Film-Noir: 5.36%, War: 5.21%, Romance: 4.52%, Adventure: 4.49%, Comedy: 4.30%, Biography: 4.27%, Sci-Fi: 4.23%, Action: 4.20%, Family: 4.13%, Horror: 4.12%, History: 4.12%, Animation: 3.82%, Music: 3.65%, Fantasy: 3.62%, Short: 3.20%, Documentary: 3.09%, Musical: 2.99%, Western: 2.87%, Sport: 2.66%"
12 Years a Slave,Crime,6.248955343434029,"Crime: 6.25%, Mystery: 6.18%, Biography: 5.83%, Comedy: 5.65%, Drama: 5.55%, Thriller: 5.51%, History: 5.47%, Romance: 5.23%, Western: 5.21%, Action: 5.09%, War: 4.53%, Music: 4.53%, Sport: 4.20%, Sci-Fi: 4.15%, Fantasy: 3.78%, Adventure: 3.61%, Animation: 3.37%, Short: 3.28%, Musical: 2.93%, Family: 2.88%, Film-Noir: 2.76%, Horror: 2.64%, Documentary: 1.36%"
12th Fail,Mystery,7.128329720559306,"Mystery: 7.13%, Crime: 6.32%, Romance: 6.13%, Thriller: 5.95%, Music: 5.67%, Drama: 5.35%, Comedy: 5.28%, Animation: 4.76%, Action: 4.64%, Horror: 4.58%, Sci-Fi: 4.40%, Adventure: 4.35%, Family: 4.34%, Biography: 4.14%, Musical: 4.08%, Fantasy: 3.97%, War: 3.80%, Western: 3.73%, Sport: 3.09%, Film-Noir: 2.52%, Documentary: 2.39%, Short: 1.82%, History: 1.57%"
1917,War,9.111100978972368,"War: 9.11%, History: 7.10%, Action: 5.27%, Drama: 5.25%, Thriller: 4.81%, Mystery: 4.70%, Adventure: 4.69%, Family: 4.28%, Biography: 4.26%, Romance: 4.19%, Comedy: 4.15%, Sci-Fi: 4.11%, Film-Noir: 4.07%, Horror: 4.02%, Animation: 3.80%, Western: 3.74%, Fantasy: 3.70%, Documentary: 3.65%, Crime: 3.59%, Short: 3.24%, Music: 2.96%, Sport: 2.75%, Musical: 2.57%"
2001_ A Space Odyssey,Sci-Fi,6.858614798220848,"Sci-Fi: 6.86%, Thriller: 5.79%, Adventure: 5.58%, Action: 5.57%, Family: 5.41%, Mystery: 5.41%, Western: 5.31%, Animation: 5.29%, Drama: 5.18%, War: 5.06%, Horror: 4.77%, Comedy: 4.64%, Crime: 4.60%, Romance: 4.17%, Fantasy: 3.85%, Biography: 3.81%, History: 3.53%, Film-Noir: 3.45%, Sport: 3.29%, Music: 3.14%, Short: 2.70%, Musical: 2.12%, Documentary: 0.46%"
2010_ The Year We Make Contact,,0.0,
2036_ Nexus Dawn,,0.0,
21 Grams,Mystery,7.611236598057287,"Mystery: 7.61%, Thriller: 6.44%, Film-Noir: 6.39%, Crime: 6.15%, War: 5.95%, Drama: 5.36%, Horror: 5.12%, Sci-Fi: 4.48%, Action: 4.24%, Animation: 4.20%, Romance: 4.11%, Adventure: 3.98%, Family: 3.89%, Short: 3.85%, Fantasy: 3.81%, Comedy: 3.72%, History: 3.70%, Biography: 3.70%, Musical: 3.15%, Sport: 3.14%, Music: 2.85%, Western: 2.52%, Documentary: 1.65%"
3 Idiots,Mystery,6.599213562189588,"Mystery: 6.60%, Horror: 6.15%, Thriller: 6.07%, Romance: 5.90%, Sport: 5.67%, Family: 5.62%, Drama: 5.29%, Comedy: 4.90%, Animation: 4.89%, Adventure: 4.67%, Action: 4.66%, War: 4.43%, Crime: 4.40%, Sci-Fi: 4.36%, Fantasy: 4.20%, Film-Noir: 4.04%, Musical: 4.02%, Biography: 3.70%, Music: 3.58%, Western: 2.56%, History: 2.38%, Short: 1.38%, Documentary: 0.53%"
500 Days of Summer,Romance,8.496319368835778,"Romance: 8.50%, Comedy: 5.73%, Thriller: 5.71%, Drama: 5.59%, Mystery: 5.56%, Musical: 5.45%, Music: 5.26%, Crime: 5.10%, Family: 4.50%, Animation: 4.48%, Action: 4.45%, Fantasy: 4.40%, Adventure: 4.35%, Sport: 4.12%, Biography: 3.77%, Sci-Fi: 3.74%, War: 3.67%, Western: 3.59%, Film-Noir: 3.39%, Horror: 3.21%, Short: 2.26%, History: 1.84%, Documentary: 1.36%"
96,Romance,7.32220712388521,"Romance: 7.32%, Music: 6.47%, History: 6.12%, Fantasy: 6.04%, Drama: 5.84%, Musical: 5.58%, Family: 5.42%, Mystery: 5.28%, Action: 5.09%, Adventure: 5.04%, Comedy: 4.99%, Biography: 4.79%, War: 4.42%, Animation: 4.35%, Thriller: 4.34%, Sport: 4.15%, Horror: 3.90%, Crime: 3.81%, Sci-Fi: 3.65%, Film-Noir: 1.49%, Documentary: 0.67%, Short: 0.63%, Western: 0.62%"
A Beautiful Mind,Mystery,7.01249889815469,"Mystery: 7.01%, Thriller: 5.63%, Drama: 5.61%, Family: 5.52%, Animation: 5.08%, Comedy: 5.00%, Biography: 4.94%, Horror: 4.91%, Romance: 4.89%, Crime: 4.85%, Sport: 4.62%, War: 4.58%, Adventure: 4.52%, Action: 4.25%, Sci-Fi: 4.21%, Fantasy: 4.12%, Documentary: 3.31%, Musical: 3.24%, History: 3.22%, Music: 3.21%, Western: 2.75%, Film-Noir: 2.55%, Short: 1.98%"
A Boy Named Death,,0.0,
A Boy of Flanders,,0.0,
A Clockwork Orange,Crime,6.842023435194104,"Crime: 6.84%, Thriller: 6.59%, Mystery: 6.59%, Drama: 5.80%, Romance: 5.55%, Comedy: 5.28%, Horror: 5.17%, Action: 4.86%, Sci-Fi: 4.75%, War: 4.54%, Biography: 4.51%, Adventure: 4.31%, Animation: 4.19%, Family: 4.00%, Fantasy: 3.98%, Sport: 3.91%, Music: 3.63%, Western: 3.40%, Film-Noir: 2.82%, Musical: 2.52%, History: 2.40%, Short: 2.20%, Documentary: 2.17%"
A Dangerous Man_ Lawrence After Arabia,,0.0,
A Dangerous Son,,0.0,
A Dog's Life,,0.0,
a Film Within History,,0.0,
A Fistful of Dollars,,0.0,
A Good Day to Die Hard,War,6.64167369199313,"War: 6.64%, Mystery: 6.61%, Thriller: 6.43%, Drama: 5.48%, Crime: 5.23%, Action: 4.90%, Biography: 4.68%, Horror: 4.56%, Sci-Fi: 4.52%, Adventure: 4.45%, Romance: 4.40%, Comedy: 4.32%, Musical: 4.25%, Family: 4.07%, Fantasy: 4.03%, Animation: 3.93%, Music: 3.88%, Western: 3.75%, Film-Noir: 3.73%, Sport: 3.43%, History: 3.29%, Short: 1.80%, Documentary: 1.61%"
A Hero,Crime,7.287758688833665,"Crime: 7.29%, Thriller: 6.61%, Mystery: 6.52%, Romance: 5.68%, Drama: 5.42%, Comedy: 5.31%, Western: 5.29%, Action: 4.93%, Horror: 4.69%, Adventure: 4.41%, Biography: 4.27%, War: 4.19%, Fantasy: 4.08%, Sci-Fi: 4.00%, Animation: 3.80%, Short: 3.74%, Sport: 3.56%, Family: 3.42%, Documentary: 3.26%, Music: 3.16%, Musical: 2.37%, Film-Noir: 2.31%, History: 1.68%"
A Man Escaped,,0.0,
A Message for Peace_ Making 'Hotel Rwanda',,0.0,
A Nightmare on Elm Street,Horror,6.402605181825952,"Horror: 6.40%, Mystery: 6.20%, Thriller: 6.10%, Drama: 5.43%, Comedy: 5.42%, Crime: 5.35%, Sci-Fi: 5.23%, Romance: 5.03%, Action: 5.00%, Adventure: 4.61%, Animation: 4.51%, Family: 4.50%, War: 4.33%, Sport: 4.26%, Fantasy: 4.13%, Music: 4.07%, Biography: 3.97%, Western: 3.30%, Musical: 3.24%, Film-Noir: 2.84%, History: 2.58%, Short: 1.89%, Documentary: 1.62%"
A Separation,Mystery,7.5272137961697965,"Mystery: 7.53%, Film-Noir: 6.14%, Thriller: 5.92%, Romance: 5.75%, Crime: 5.71%, Music: 5.46%, Drama: 5.39%, War: 5.06%, Biography: 4.52%, Musical: 4.49%, Action: 4.30%, Family: 4.23%, Sport: 4.21%, Comedy: 4.13%, Animation: 3.97%, Horror: 3.96%, Sci-Fi: 3.74%, Adventure: 3.57%, Fantasy: 3.35%, Short: 2.64%, Western: 2.62%, History: 2.53%, Documentary: 0.79%"
A Silent Voice_ The Movie,,0.0,
A Streetcar Named Desire,Mystery,6.182196763536655,"Mystery: 6.18%, Family: 5.62%, Thriller: 5.54%, Romance: 5.40%, Drama: 5.19%, Comedy: 5.11%, Animation: 5.09%, Music: 4.93%, Musical: 4.88%, Crime: 4.85%, War: 4.67%, Biography: 4.30%, Horror: 4.17%, Adventure: 4.14%, Fantasy: 4.14%, Documentary: 4.02%, Sport: 3.97%, Film-Noir: 3.89%, Action: 3.79%, Sci-Fi: 3.51%, History: 2.87%, Western: 2.48%, Short: 1.25%"
Aavesham,Crime,7.3906101749698765,"Crime: 7.39%, Sci-Fi: 6.33%, Drama: 5.69%, Horror: 5.47%, Thriller: 5.46%, Action: 5.28%, Romance: 5.27%, Mystery: 5.13%, History: 4.70%, Biography: 4.35%, Comedy: 4.28%, Family: 4.26%, Western: 4.22%, Music: 4.17%, Adventure: 4.11%, Film-Noir: 3.88%, Fantasy: 3.61%, War: 3.48%, Animation: 3.36%, Musical: 3.27%, Sport: 2.71%, Documentary: 2.34%, Short: 1.23%"
About Elly,Romance,7.069181760619628,"Romance: 7.07%, Mystery: 6.81%, Thriller: 6.49%, Crime: 6.22%, Horror: 6.09%, Music: 5.76%, Comedy: 5.61%, Action: 5.41%, Drama: 5.25%, Sci-Fi: 4.84%, Adventure: 4.49%, Animation: 4.19%, War: 3.62%, Film-Noir: 3.61%, Fantasy: 3.35%, Family: 3.30%, Western: 3.05%, Documentary: 2.98%, Biography: 2.78%, Sport: 2.61%, Short: 2.57%, Musical: 2.33%, History: 1.57%"
Akira,Crime,6.694291058003834,"Crime: 6.69%, Mystery: 6.26%, Thriller: 6.16%, Action: 5.44%, Drama: 5.28%, Sci-Fi: 5.10%, Comedy: 4.92%, War: 4.83%, Adventure: 4.48%, Horror: 4.45%, Romance: 4.26%, Animation: 4.12%, Biography: 4.06%, Fantasy: 4.04%, Music: 3.93%, Western: 3.85%, Family: 3.43%, Short: 3.38%, Documentary: 3.37%, Film-Noir: 3.20%, Musical: 2.99%, Sport: 2.93%, History: 2.83%"
