Name,url,keywords
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,"prison, based on the works of stephen king, escape from prison, wrongful conviction, 1940s, police brutality, suicide by hanging, suicide, solitary confinement, plot twist, male rape, redemption, maggot, brutality, trial, based on novella, sexual assault, parole board, prison guard, male nudity, bank, rainstorm, shoe, beach, carving, tin box, loudspeaker, contraband, portland maine, regret, tarring roof, interracial friendship, adultery, illiteracy, maine, embezzlement, parole, death of friend, surprise ending, gay rape, 1950s, first person narration, zihuatanejo mexico, hope, rooftop, friendship, bible, banker, sex standing up, shower room, library, abuse of power, corruption, empathy, chess, humanism, 1960s, digging, assault, wager, arrest, prison drama, suicide by gunshot, opera, bird, life sentence, prison rape, cuckold, narration, supermarket, store room, gang rape, national film registry, murder, basalt, phonograph, money laundering, aria, adding machine, oak tree, beaten to death, shiv, billy club, warden, sewer, tunnel, rock hammer, male bonding, beer, accountant, bribery, bromance, cult film, tree, convict, postcard, harmonica, wall safe, prison bus, poster"
The Godfather,https://www.imdb.com/title/tt0068646/,"mafia, patriarch, crime family, organized crime, gangster, rise to power, gambling syndicate, part of trilogy, father son relationship, wedding, revenge, murder, corrupt cop, crime boss, mob hit, new york city, family relationships, betrayal, 1940s, 1950s, severed horse's head, mobster, mercilessness, mob summit, manhattan new york city, bronx new york city, epic, death of title character, mob violence, police officer killed, brother sister relationship, brother brother relationship, based on novel, italian american, casino, dysfunctional family, italy, first of series, italian restaurant, assassination attempt, brutality, mob enforcer, mob war, tommy gun, pistol, adopted son, loss of husband, honor, love at first sight, loss of son, loss of wife, loss of father, sibling rivalry, father daughter relationship, catholic, baptism, catholic church, wedding reception, famous line, lawyer, famous score, fugitive, police brutality, undertaker, domestic violence, horse killed, car bomb, extramarital affair, funeral, title spoken by character, neo noir, dancing, cannoli, immigrant, heroin trafficking, irish american, gangster as protagonist, mafioso, gangster crime, loss of brother, police officer, vengeance, american mafia, racketeering, drug trafficking, national film registry, godfather, first part, crooked lawyer, police corruption, horse, female nudity, hospital, world war two veteran, no opening credits, blood, sex scene, marriage, massage, tollbooth"
The Godfather Part II,https://www.imdb.com/title/tt0071562/,"revenge, 1950s, cuban revolution, sicily, sicilian mafia, mother son relationship, murder, gangster, las vegas nevada, havana cuba, italian american, organized crime, lake tahoe nevada, mafia, suicide, neo noir, assassination, protection racket, garrote, government hearing, brother sister relationship, brother brother relationship, immigration, witness protection, ethnic slur, senator, orphan, sequel, miami florida, extortion, abortion, epic, 1920s, jewish mafia, political corruption, fratricide, new year's eve, female nudity, dysfunctional family, landlord, domestic violence, catholic, fishing, birthday party, american dream, national film registry, consigliere, sicilian american, ethnocentrism, irish american, murder of a prostitute, mob war, revolver, tommy gun, hand grenade, forgiveness, vendetta, murder at a funeral, kiss of death, mafia don, hotel, villain as protagonist, family relationships, rise to power, melancholy, dysfunctional marriage, wheelchair, shotgun, sicily italy, shootout, perjury, brothel, bar, mob violence, burglary, new york city, blockbuster, mob hit, quarantine, washington d.c., betrayal, blackmail, 1940s, crime boss, village, wake, 1900s, suicide bomber, rooftop, loss of mother, train station, name change, famous score, marital separation, crime epic, festival, stabbing, sibling rivalry, divorcee, based on novel"
Schindler's List,https://www.imdb.com/title/tt0108052/,"holocaust, nazi, nazi concentration camp, german, jewish, world war two, auschwitz, based on true story, accountant, anti semitism, 1940s, nazi occupied poland, list, krakow poland, ss, mass murder, ghetto, identification papers, schindler jews, pistol, shot in the head, mass grave, liberation, racism, good versus evil, rescue, rabbi, industrialist, gratitude, shower, swastika, enamelware, what happened to epilogue, 1930s, coat, cracow poland, nazi officer, genocide, anti nazi, national film registry, oskar schindler character, extermination camp, shoah, death of title character, champagne, child in jeopardy, soap, murder of a child, progeny, poland, female frontal nudity, execution, female nudity, female rear nudity, male nudity, businessman, factory, holocaust survivor, engineer, foundation, shaved head, barracks, doctor, tailor made clothing, rifle scope, lice, secretary, infestation, gold tooth, lapel pin, fellow traveler, talmud, architect, plaszow, judenrat, sabbath, shabbat, jewish wedding custom, boxcar, suitcase, wedding, menorah, avenue of the righteous, yad vashem, famous score, psychopath, emaciation, starvation, hiding under a bed, widow, typewriter, machine gun, murder, forgiveness, honor, cruelty, hero, urination, ring, prologue"
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,"journey, orc, hobbit, battle, quest, good versus evil, epic, king, wizard, middle earth, male protagonist, fate, falling into lava, race against time, lava, volcano, volcanic eruption, curse, courage, ring, elrond character, galadriel character, legolas character, gollum character, frodo baggins character, saruman the white character, gandalf character, bilbo baggins character, third part, sequel, violence, ensemble cast, battleaxe, tree, dead tree, barefoot, swordsman, mountain, royal, death, bowing, throne, fireplace, hatred, army, flying creature, ruins, ambush, outpost, signal, singing, blockbuster, cult classic, famous score, no opening credits, part computer animation, orchestral music score, symphonic music score, third in trilogy, flashback, returning character killed off, sequel to cult favorite, colon in title, ten word title, last of series, fictional war, city, gate, elvish, camaraderie, anti hero, drinking, final battle, kingdom, last stand, staff, sword and fantasy, axe fight, hand to hand combat, ancient race, journey shown on map, finger bitten off, shot back to back, invented language, mission, magic, tragic hero, wilhelm scream, tragic villain, tied up, dark hero, light, split personality, ship, plain, horse, wedding ceremony, sorcerer, monster, fire"
Pulp Fiction,https://www.imdb.com/title/tt0110912/,"nonlinear timeline, overdose, drug use, drug overdose, rape, car accident, anal rape, drug dealer, dance contest, neo noir, organized crime, bondage, serial rapist, sexual assault, sexual predator, restaurant robbery, tied to a chair, hitman, double cross, shootout, murder, drugs, boxer, motel, dark comedy, 1990s, torture, bound and gagged, ensemble cast, oral sex, car crash, redemption, ball gag, hit by a car, near death experience, corpse, covered in blood, shower, strip club, shot in the face, los angeles california, heroin, robbery, sex slave, restaurant, baseball bat, nosebleed, celebrity impersonator, racial slur, interlinked stories, multiple perspectives, brutality, director cameo, male nudity, briefcase, diner, implied cunnilingus, problem solver, adrenaline, twist the dance, wristwatch, chapter headings, anti hero, vietnam war veteran, national film registry, foot fetish, male rape victim, vulgarity, chase, toilet, addiction, sadism, katana, crime boss, hypodermic needle, bullet hole, blood, silencer, automatic weapon, bar, surrender, cardiac injection, shotgun, heirloom, freeze frame, assault, rescue, accidental killing, cocaine, accidental shooting, shot in the head, african american, themed restaurant, gore, famous line, plot twist, directed by co star, psychopath, grindhouse film, racism"
Inception,https://www.imdb.com/title/tt1375666/,"dream, ambiguous ending, subconscious, mindbender, surprise ending, psycho thriller, architecture, psychological manipulation, fantasy becomes reality, deception, falling from height, strong female lead, strong female character, architect, memory, kidnapping, dream sequence within a dream sequence, dream within a dream, child, suspense, marriage, suicide, suicide attempt, spinning top, title spoken by character, written by director, manipulation, dream sequence, elevator, airplane, false memory, guilt, dream within a dream within a dream, bathtub, hotel, bar, train, teamwork, corporate espionage, neo noir, nonlinear timeline, haunted by the past, disguise, jumping from height, hallway, tied to a chair, hostage, ensemble cast, death, revenge, ambiguity, produced by director, night, underwater scene, heist, brawl, sniper, building collapse, airport, falling backwards, tokyo japan, labyrinth, falling asleep, totem, levitation, false accusation, widower, shared dream, walking up a wall, falling to death, murder, falling down stairs, sabotage, zero gravity, avalanche, cafe, bag over head, flashback, trapped underwater, falling off a bridge, falling off a cliff, rescue, elevator crash, washed up on a beach, childhood photo, puzzle, maze, death of father, altered version of studio logo, title at the end, cult film, english subtitles in original, betrayal, father in law son in law relationship, lawyer, blockbuster, one last job, no title at beginning, one word title, reference to edith piaf"
Forrest Gump,https://www.imdb.com/title/tt0109830/,"vietnam war, based on novel, vietnam, mother son relationship, war hero, interracial friendship, shrimp boat, ping pong, simple man, double amputee, suicide attempt, single mother, famous line, 1960s, 1970s, bully, boat captain, university of alabama, civil rights movement, sex scene, cocaine, san francisco california, red light district, military hospital, napalm, jungle, nike, disabled veteran, racism, told in flashback, medal of honor, loss of mother, kindness, fight, fainting, hippie, racial slur, chocolate, death of friend, running, female nudity, new year's eve, china, loss of virginity, park bench, washington d.c., prayer, doctor, feather, bus stop, americana, watergate, the white house washington d.c., carrying someone on one's back, soldier, national film registry, epic drama, 1950s, 1980s, intellectually disabled protagonist, intellectual disability, alabama, father son relationship, president of the united states, male bonding, historical fiction, rainstorm, loss of wife, addiction, fishing boat, college football, student athlete, shrimp, college, lincoln memorial, ice cream, gunshot wound, tuscaloosa alabama, savannah georgia, rooming house, philanthropy, child abuse, prostitution, school desegregation, school bus, interracial marriage, wedding, childhood friend, new york city, famous score, deathbed, wheelchair, saigon vietnam, assassination, oldies in soundtrack, jungle warfare, character appears on a tv talk show, leg brace, handicap, flashback"
"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/,"shootout, spaghetti western, civil war, third in trilogy, man with no name, italo western, outlaw, part of trilogy, wild west, dollars trilogy, moral ambiguity, hitman, famous opening theme, cowboy, third part, sequel, sequel to cult favorite, mexico, cult film, gold, extreme close up, close up of eyes, deception, greed, loner, drifter, gun violence, grave digging, explosion, small town, anti hero, dubbing, dubbed dialogue, american civil war, desert, showdown, bandit, new mexico territory, warrior, cult director, famous score, revolver, pistol, assassin, texas, marauder, western hero, cult western, cult classic, epic, duster, arizona desert, prequel and sequel, prequel, very little dialogue, cemetery, long range rifle, one armed gunfighter, one armed soldier, one armed man, soldier, mustache, held at gunpoint, double cross, attempted murder, violence, brutality, gunslinger, gun store, priest, torture, shot to death, shot through a pillow, winchester rifle, illiteracy, one against many, thrown from a train, contract murderer, buried gold, bounty hunter, wanted poster, hustle, mexican bandit, stolen gold, public hanging, military cemetery, hidden in a grave, beaten for information, man beating a woman, revenge, colt revolver, artillery fire, hanged to death, pow camp, dying confession, monastery, forced partnership, chained, train journey, blowing up a bridge"
Interstellar,https://www.imdb.com/title/tt0816692/,"saving the world, astronaut, space travel, father daughter relationship, wormhole, gravity, nasa, relativity, time paradox, famine, outer space, black hole, event horizon, race against time, single parent, morse code, space time, dust storm, giant wave, love, betrayal, scientist, physicist, self sacrifice, space shuttle, space station, spaceship, dust, set in future, family relationships, alternate dimension, cornfield, time travel, single father, planet, pickup truck, no opening credits, blockbuster, futuristic, interstellar travel, water planet, zero gravity, tidal wave, title spoken by character, space exploration, robot, bookcase, bookshelf, reference to moon landing conspiracy, farmer, widower, drone, time, mission, helmet, ice, survival, wristwatch, brawl, suspense, altered version of studio logo, rescue, video message, apocalypse, bootstrap paradox, book, subterranean, rocket, courage, hope, time dilatation, expedition, sabotage, dust cloud, reference to dylan thomas, baseball game, lung disease, spacecraft, one word title, crop failure, binary code, time dilation, reference to murphy's law, gasoline, epic, farm, professor, ambush, montage, melodrama, fight, desperation, pilot, flood, water, drowning, corpse, flashback, laboratory, genetic ark"
Goodfellas,https://www.imdb.com/title/tt0099685/,"gangster, mafia, organized crime, rise and fall, mob violence, mob hit, extramarital affair, long take, mobster, police raid, true crime, mentor, drug trafficking, 1960s, 1980s, robbery, cocaine, murder, in medias res, brutality, adultery, psychopath, bar fight, informer, new york city, interfaith marriage, fake commercial, domestic violence, corpse, drug dealing, prison, drugs, paranoia, betrayal, death of friend, fellatio, 1970s, firearm pointed at the camera, dolly zoom, irish american, freeze frame, helicopter, italian american, nightclub, heist, crime boss, interrogation, marriage, barbecue, garbage truck, racketeering, sociopath, womanizer, fbi agent, shower, american mafia, gangster crime, national film registry, narration, addiction, juvenile delinquency, vandalism, double cross, meat truck, airport, told in flashback, sexual harassment, brooklyn new york city, frozen corpse, trial, stood up, stabbing, shallow grave, racial slur, police surveillance, police corruption, phone booth, mother daughter relationship, father son relationship, extortion, breaking the fourth wall, contraband, witness protection, based on book, child abuse, cigar smoking, pittsburgh pennsylvania, queens new york city, person in a car trunk, 1950s, jewish wedding, multiple narrators, cigarette smoking, wedding, toupee, jewish, friendship, double date, diner, bar"
The Matrix,https://www.imdb.com/title/tt0133093/,"artificial reality, simulated reality, dystopia, post apocalypse, artificial intelligence, martial arts, man versus machine, false reality, tech noir, bullet time, cyberpunk, matrix, pill, hacker, virtual reality, rebellion, virtual reality simulation, slow motion scene, code, prophecy, chosen one, dark future, virtual world, government agent, bullet dodging, cyberspace, title spoken by character, existentialism, programmer, trenchcoat, hero, rescue, exploding helicopter, altered version of studio logo, blockbuster, robot, oracle, time freeze, one against many, neo noir, future noir, 2190s, computer program, two directors, human as resource, stylized violence, sunglasses, brain in a vat, allegory of the cave, revolution, kung fu, spoon, mentor, parallel world, sentinel, human versus computer, deja vu, shootout, gun fu, philosophy, computer, christ allegory, messiah, destiny, 22nd century, good versus evil, surrealism, office, rooftop, resistance, resistance fighter, kidnapping, fight, double cross, jumping from a rooftop, african american, trapped in virtual reality, death in virtual reality kills for real, unlikely hero, leather pants, national film registry, stasis pod, alternate reality, mutism, two word title, reversal of power, facing reality, collectivism, alternative energy, freedom fighter, war against machines, combat, mexican standoff, fistfight, action hero, wearing sunglasses indoors, helicopter crash, jumping between buildings, dream sequence, police officer"
